linha;fat_23_24;fat_24_25;fat_25_26;qtd_25_26;skus_ativos;clientes;mb_pct;lucro_bruto;preco_med
Linha Organizacao;30238899;27290299;22926608;2445256;307;3634;52,6;11841981;9,36
Linha Potes;33006583;29179825;20530611;3307014;501;4505;43,6;8230290;6,34
Linha Cozinha;15745347;15091310;14116501;2864773;200;7827;52,8;7299649;4,91
Linha Lixeiras;9096424;10935774;9305027;684251;97;2451;42,1;3903474;13,59
Linha Frasqueiras;6339805;7038277;7248734;647106;54;3306;54,4;3920561;11,17
Linha Banheiro;5302329;4770981;4098407;970552;52;6003;55,0;2250796;4,23
Linha Limpeza;4309175;4386058;3641211;588418;38;2521;54,7;1962284;6,21
Linha Micro-ondas;4901927;4512066;3324320;745252;30;3560;29,8;885852;4,55
Linha Jarras;3669794;3005079;2628329;516793;53;2586;42,7;1112803;5,08
Linha Decor Util;1173196;2265783;2303390;440230;63;1895;65,4;1333790;5,45
Linha Teca;1217030;2259387;2004803;128730;67;534;18,8;379482;15,73
Linha ECO;2112914;2079710;771428;88079;19;655;56,2;433511;8,76
Linha Coloratto;1709958;2725653;768987;133304;28;651;56,2;394208;5,66
Linha Geladeira;776032;707707;622394;112910;22;722;51,5;319538;5,52
Linha Infantil;2600418;1163592;484411;156939;40;1002;60,9;292007;3,07
Linha Realce;476721;158270;60911;14754;47;174;41,0;19605;4,35
Linha POP;0;0;36198;2662;9;79;19,7;7135;13,60
