# CORTE A (solicitado): apenas PV0003 TABELA PADRAO (CODTAB=0)
# ATENCAO: a queda desta curva e migracao de tabela, nao queda de demanda. Usar para teto de preco/margem, nao para tendencia.
linha;fat_23_24;fat_24_25;fat_25_26;qtd_25_26;skus;clientes;mb_pct;lucro_bruto
Linha Organizacao;10931121;6404658;2780157;242485;130;1413;65,6;1822555
Linha Potes;10168938;5915454;2382690;293517;273;1987;62,6;1488599
Linha Cozinha;8250453;5659068;2361272;324557;114;4364;68,0;1605331
Linha Frasqueiras;3380756;2271909;1556201;101388;36;1358;64,6;1005034
Linha Lixeiras;4576419;3138024;1224672;61316;57;738;60,4;739244
Linha Banheiro;2390224;1754490;776816;136566;27;3244;70,0;543844
Linha Limpeza;1696195;1213992;470402;48275;26;803;70,2;329979
Linha Jarras;1792513;1125157;469454;58494;26;948;64,4;302203
Linha Micro-ondas;1020529;772710;317190;43039;15;1679;68,2;216459
Linha Decor Util;445686;605406;233679;30921;33;824;73,2;171134
Linha ECO;806753;457511;185262;16713;14;171;64,4;119343
Linha Teca;352970;184046;137388;2629;43;108;70,0;95241
Linha Infantil;1599317;593002;115374;25831;12;274;73,1;84328
Linha Geladeira;441144;270235;93193;8800;9;164;69,4;64706
Linha Coloratto;277844;150258;50416;5545;11;188;71,0;35515
Linha Realce;193096;77680;15178;2712;28;51;54,6;7740
Linha POP;0;0;7848;354;9;17;40,9;3212
