# Corte B: marca propria. Var 24/25 -> 25/26
vetor;produto_evidencia;linha;fat_24_25;fat_25_26;var_pct;clientes
Valvula;POTE ALTO COM VALVULA - TRANSPARENTE 2,9L;Potes;10679;149142;1297;365
Valvula;POTE ALTO COM VALVULA - TRANSPARENTE 4,6L;Potes;13695;155005;1032;291
Valvula;POTE QUADRADO COM VALVULA - 3L;Potes;31918;189761;495;280
Valvula;POTE RASO COM VALVULA - 3,2L;Potes;158221;273942;73;495
Valvula;POTE RASO COM VALVULA - 1,9L;Potes;144584;226196;56;496
Acoplado-Rosca;POTE ACOPLADO COM ROSCA - TRANSPARENTE 2L;Potes;24622;163925;566;524
Acoplado-Rosca;POTE FEIJAO ACOPLADO COM ROSCA - 2L;Potes;44869;133778;198;542
Acoplado-Rosca;POTE ACUCAR ACOPLADO COM ROSCA - 2L;Potes;155033;233857;51;1018
Acoplado-Rosca;POTE CAFE ACOPLADO COM ROSCA - 2L;Potes;166592;239748;44;725
Cor Chumbo;LIXEIRA RATTAN COM PEDAL - CHUMBO 6L;Lixeiras;179970;554452;208;711
Cor Chumbo;LIXEIRA JUTA COM PEDAL - CHUMBO 12L;Lixeiras;53156;157103;196;271
Flat-Slim;CONJ PORTA DETERGENTE FLAT 2 PECAS - PRETO;Cozinha;57819;300422;420;811
Nitronfort;CAIXA FERRAMENTAS NITRONFORT - LARANJA 2,2L;Frasqueiras;130082;273906;111;510
Nitronfort;CAIXA FERRAMENTAS NITRONFORT - LARANJA 16L;Organizacao;243559;424519;74;493
Gadget-Facil;KIT CHURROS FACIL - BRANCO;Decor Util;277844;602179;117;842
Gadget-Facil;ESCORREDOR MULTI USO - PRETO;Cozinha;114161;239929;110;585
Gadget-Facil;SALEIRO PREMIER COM ALCA 1KG;Cozinha;90653;182552;101;620
Kit-Multipack;KIT POTES ACOPLADOS 5 PCS - PRETO;Potes;101110;200934;99;413
Kit-Multipack;KIT POTES ALTOS RETANGULARES 3 PCS;Potes;123159;210933;71;106
Kit-Multipack;KIT POTES ACOPLADOS 5 PCS - BRANCO;Potes;432751;590699;36;411
Textura-Juta;CESTO EUROPA JUTA - PRETO 5,3L;Organizacao;32978;155573;372;237
Textura-Juta;CESTO ALONGADO JUTA - PRETO 7,4L;Organizacao;147163;217704;48;454
Frasqueira-Cor;FRASQUEIRA MEGA LUXO - VERMELHA 12L;Frasqueiras;45891;129868;183;130
Frasqueira-Cor;FRASQUEIRA OVAL COM BANDEJA - BRANCA;Frasqueiras;43881;121522;177;296
Frasqueira-Cor;FRASQUEIRA MEDICAMENTOS - BRANCA 2,8L;Frasqueiras;1278015;1699012;33;1181
Ultraforte;POTE ULTRAFORTE COM TRAVAS - PRETO 2,1L;Potes;130337;283442;117;795
