# Prova de que a queda da tabela padrao e migracao: tabelas que nasceram/cresceram no periodo
tabela;codtab;fat_23_24;fat_24_25;fat_25_26
PV0003 - TABELA PADRAO;0;48323957;30593600;13177193
TABELA FAT EXTREMA SIMPLES NACIONAL;141;0;8932372;10151303
PV0134 - AVON;84;20406146;18578381;8970073
TABELA FOB ESPECIAL NORDESTE;102;905822;5762201;7503995
TABELA AMIGAO;127;397637;2886025;3474235
TABELA ESPECIAL DISTRIBUIDORA;97;245362;838314;3004397
TABELA RED -141 EXTREMA SIMPLES NACIONAL;133;0;205087;2556750
CLUBE NITRON VAREJO COMISSAO 8%;153;0;0;2508406
CLUBE NITRON ATACADO COMISSAO 6%;155;0;0;1560921
PV0004 - TABELA ESPECIAL RED;13;205780;274962;1432149
TABELA TUBARAO;162;0;0;918591
CLUBE NITRON VAREJO EXTREMA COMISSAO 8%;154;0;0;798647
TABELA CLUBE LOJAS G - ATACADO SP;169;0;0;738586
CLUBE SHOPPING DAS UTILIDADES;158;0;0;672117
TABELA CLUBE LOJAS G - ATACADO;170;0;0;670754
TABELA CAMPINEIRA;130;0;166235;603070
TABELA CLIENTES FORA DA PROMOCAO;116;8213144;4421432;288080
ACAO PROMOCIONAL - 5% OFF;266;2473230;0;0
TABELA CASA & VIDEO;284;3967497;980596;597624
TABELA LE BISCUIT;285;2567405;1419496;194731
