# Teto de preco e margem na tabela padrao PV0003 (12M ago/25-jul/26)
linha;produto;fat_padrao;clientes;preco_padrao;mb_padrao_pct
Decor Util;KIT CHURROS FACIL - BRANCO;84954;405;14,49;81,5
Organizacao;ORGANIZADOR MULTIUSO RATTAN 3 DIVISORIAS - PRETO;105933;448;6,47;78,8
Limpeza;PORTA VASSOURAS COM 4 ENCAIXES - PRETO;42213;197;10,11;75,9
Limpeza;PORTA SABAO EM PO COM DOSADOR - PRETO 2KG;38136;106;20,11;74,1
Decor Util;KIT BISCOITO FACIL - BRANCO;10644;52;11,96;73,2
Banheiro;PORTA ESCOVAS COM TAMPA - BRANCO;74339;343;7,57;72,3
Frasqueiras;FRASQUEIRA MEDICAMENTOS - BRANCA 6,2L;168159;270;28,49;71,8
Banheiro;PORTA ESCOVAS COM TAMPA - PRETO;123624;319;7,35;71,4
Potes;POTE RASO COM TRAVAS - TRANSPARENTE 1,1L;48830;208;7,26;68,9
Organizacao;ORGANIZA TUDO COM 10 DIVISORIAS;63464;227;7,22;68,9
Decor Util;HAMBURGUEIRA - BRANCA;27218;177;7,45;68,7
Cozinha;PORTA TALHER 6 DIVISORIAS E TAMPA - BRANCO;74642;269;18,46;68,4
Limpeza;PA DE LIXO COM CABO;68447;256;7,61;67,9
Cozinha;PORTA FRIOS COM PINCA - 1,1L;89958;199;11,06;67,4
Organizacao;ORGANIZA TUDO COM 16 DIVISORIAS;157008;214;16,56;66,9
Cozinha;PORTA DETERGENTE RATTAN COM BASE - PRETO;98248;329;7,26;66,5
Potes;POTE ULTRAFORTE COM TRAVAS - PRETO 6,9L;63154;121;20,15;66,3
Frasqueiras;FRASQUEIRA MEDICAMENTOS MEGA LUXO - BRANCA 12L;116694;131;47,05;65,6
Frasqueiras;FRASQUEIRA MEDICAMENTOS - VERMELHA 2,8L;31658;95;15,24;63,3
Frasqueiras;FRASQUEIRA MEDICAMENTOS - BRANCA 2,8L;659751;313;15,05;62,8
Banheiro;CANTONEIRA BANHEIRO PREMIUM - BRANCO;82839;301;11,58;62,5
Lixeiras;LIXEIRA RATTAN COM PEDAL - PRETA 6L;109805;324;18,67;59,0
