# Corte B (marca propria). Var 24/25 -> 25/26. So CHUMBO e LARANJA cresceram.
cor;skus_25_26;fat_23_24;fat_24_25;fat_25_26;ganho_abs;var_pct;fat_por_sku
CHUMBO;44;0;1328350;2565159;1236809;93,1;58299
LARANJA;3;476023;384455;698440;313985;81,7;232813
TRANSPARENTE;118;9645546;11015698;10306543;-709155;-6,4;87344
AREIA/BEGE;6;1693772;1381941;1245651;-136290;-9,9;207609
BRANCO;284;24183186;25011018;21825007;-3186011;-12,7;76848
PRETO;254;28648187;30611880;26094800;-4517080;-14,8;102735
SORTIDO;19;821780;619637;514291;-105345;-17,0;27068
FUME;8;840467;761805;588177;-173628;-22,8;73522
VERMELHO;77;4338425;2838818;2143418;-695400;-24,5;27837
ROSA;98;2800342;2184505;1358429;-826076;-37,8;13862
AZUL;21;1229370;583449;287401;-296048;-50,7;13686
AMARELO;4;92071;18099;6450;-11649;-64,4;1613
VERDE;102;3654349;876545;160009;-716536;-81,7;1569
MARROM/TERRACOTA;34;2447830;784169;79176;-704993;-89,9;2329
CINZA/GRAFITE;19;897599;411240;30037;-381202;-92,7;1581
