# Evidencia de que parte do crescimento do chumbo e recadastro de SKUs "CINZA"/"LISO"
sku_antigo_cinza;cod_antigo;ant_23_24;ant_25_26;sku_novo_chumbo;cod_novo;novo_24_25;novo_25_26
ORGANIZADOR MULTIUSO RATTAN CINZA;4143;91456;3486;ORGANIZADOR MULTIUSO RATTAN 3 DIV CHUMBO;11825;68227;92808
ORGANIZADOR RATTAN 6 DIVISORIAS CINZA;4133;85522;3253;ORGANIZADOR MULTIUSO RATTAN 6 DIV CHUMBO;11883;58008;76537
CESTO ORGANIZADOR RATTAN GRANDE C/TAMPA CINZA;4135;149054;3004;CAIXA ORGANIZADORA RATTAN TAMPA CHUMBO 16L;11855;49542;80778
CESTO JUTA ALONGADO M CINZA;4227;66552;4381;CESTO ALONGADO JUTA CHUMBO 4,5L;11919;21104;22557
CESTO JUTA ALONGADO G CINZA;4229;64463;2690;CESTO ALONGADO JUTA CHUMBO 7L;11923;22409;17126
PORTA ESCOVA LISO CINZA;9880;12450;762;PORTA ESCOVA FLAT CHUMBO;12009;23462;31535
PORTA SABAO LIQUIDO LISO CINZA;9902;19808;0;PORTA SABAO LIQUIDO FLAT CHUMBO;12012;31277;28942
SABONETEIRA CINZA LISA COM TELA;9886;5840;339;SABONETEIRA COM TELA FLAT CHUMBO;12011;13542;16201
PORTA ALGODAO E COTONETE LISO CINZA;9883;3412;143;PORTA ALGODAO E COTONETE FLAT CHUMBO;12010;6882;6005
CAIXA ORGANIZADORA G COM TAMPA CINZA;9045;17063;1796;CAIXA ORGANIZADORA FLAT TAMPA CHUMBO 10,35L;12003;16866;52989
