planta;tonelagem;maquinas
Nitron - Fabrica;80;2
Nitron - Fabrica;130;2
Nitron - Fabrica;160;2
Nitron - Fabrica;200;3
Nitron - Fabrica;250;3
Nitron - Fabrica;258;2
Nitron - Fabrica;260;1
Nitron - Fabrica;398;1
Nitron - Fabrica;600;1
Nitron - Fabrica;650;2
Nitron - Fabrica;800;1
Nitron - Fabrica;1100;1
Nitron - Fabrica;1200;5
Nitron - Fabrica;1600;6
Nitron - Fabrica;2000;12
Nitron - Fabrica;2500;6
Nitron - Fabrica;2800;1
Nitron - Fabrica;3000;1
Nitron - Fabrica;3800;3
Nitron - Fabrica;6000;1
Tanamu;600;2
Tanamu;1300;4
Tanamu;1600;3
Tanamu;2100;1
