# Onde o chumbo JA existe (44 SKUs) e onde falta. Fat 25/26 do corte B.
linha;skus_chumbo;fat_chumbo_25_26;maior_sku_chumbo;status
Linha Lixeiras;12;1320957;LIXEIRA RATTAN COM PEDAL CHUMBO 6L (554k);coberta
Linha Organizacao;13;584482;CAIXA ORGANIZADORA RATTAN TAMPA CHUMBO 8L (89k);coberta - falta GAVETEIRO
Linha Cozinha;12;494336;CONJ PORTA DETERGENTE FLAT 2 PCS CHUMBO (107k);coberta
Linha Banheiro;3;53741;PORTA ESCOVA FLAT CHUMBO (32k);parcial - falta PORTA ESCOVAS COM TAMPA
Linha Limpeza;1;28942;PORTA SABAO LIQUIDO FLAT CHUMBO (29k);parcial - falta PORTA VASSOURAS e SABAO EM PO
Linha Frasqueiras;0;0;-;VAZIA - unica linha em crescimento
Linha Potes;0;0;-;VAZIA
Linha Jarras;0;0;-;VAZIA
Linha Micro-ondas;0;0;-;VAZIA
Linha Decor Util;0;0;-;VAZIA
Linha Geladeira;0;0;-;VAZIA
