codprod_pa,ref_pa,descr_pa,cusger_pa,ref_pi,descr_pi,tipo_pi,qtd
14170,850.004.N03,ARARA DE ROUPA NITRON-MOB,90.10,850-TZ,Trizeta (no de 3 vias ortogonais),conector PP,14
14170,850.004.N03,ARARA DE ROUPA NITRON-MOB,90.10,850-L,Peca L (cotovelo de 2 vias),conector PP,2
14170,850.004.N03,ARARA DE ROUPA NITRON-MOB,90.10,850-T,Tampa,conector PP,4
14170,850.004.N03,ARARA DE ROUPA NITRON-MOB,90.10,850-H,Porta-haste (clipe em C),conector PP,16
14170,850.004.N03,ARARA DE ROUPA NITRON-MOB,90.10,BPE-01-AC,Barra pes C=60,madeira pinus,4
14170,850.004.N03,ARARA DE ROUPA NITRON-MOB,90.10,PSA-05,Barra altura C=513,madeira pinus,12
14170,850.004.N03,ARARA DE ROUPA NITRON-MOB,90.10,PSC-02,Barra comprimento C=415,madeira pinus,8
14170,850.004.N03,ARARA DE ROUPA NITRON-MOB,90.10,PSC-04,Barra comprimento C=717,madeira pinus,8
14170,850.004.N03,ARARA DE ROUPA NITRON-MOB,90.10,PST-01,Barra travessa C=437,madeira pinus,8
14172,851.004.N03,SAPATEIRA PEQUENA,32.01,850-TZ,Trizeta,conector PP,16
14172,851.004.N03,SAPATEIRA PEQUENA,32.01,850-T,Tampa,conector PP,4
14172,851.004.N03,SAPATEIRA PEQUENA,32.01,850-H,Porta-haste,conector PP,8
14172,851.004.N03,SAPATEIRA PEQUENA,32.01,BLA-02-AC,Barra largura C=207,madeira pinus,4
14172,851.004.N03,SAPATEIRA PEQUENA,32.01,BPS-01-AC,Barra C=167,madeira pinus,8
14172,851.004.N03,SAPATEIRA PEQUENA,32.01,PSC-02,Barra comprimento C=415,madeira pinus,4
14172,851.004.N03,SAPATEIRA PEQUENA,32.01,PST-01,Barra travessa C=437,madeira pinus,4
14173,852.004.N03,SAPATEIRA GRANDE,74.84,850-TZ,Trizeta,conector PP,8
14173,852.004.N03,SAPATEIRA GRANDE,74.84,850-T,Tampa,conector PP,4
14173,852.004.N03,SAPATEIRA GRANDE,74.84,850-H,Porta-haste,conector PP,12
14173,852.004.N03,SAPATEIRA GRANDE,74.84,BAL-01-AC,Barra altura C=183,madeira pinus,12
14173,852.004.N03,SAPATEIRA GRANDE,74.84,BLA-01-AC,Barra largura C=200,madeira pinus,8
14173,852.004.N03,SAPATEIRA GRANDE,74.84,BPE-01-AC,Barra pes C=60,madeira pinus,4
14173,852.004.N03,SAPATEIRA GRANDE,74.84,PAN-01-AC,Painel 435x200x15,madeira pinus,1
14173,852.004.N03,SAPATEIRA GRANDE,74.84,PSC-02,Barra comprimento C=415,madeira pinus,8
14173,852.004.N03,SAPATEIRA GRANDE,74.84,PST-01,Barra travessa C=437,madeira pinus,6
14171,853.004.N03,KIT SUPORTE DECORATIVO (M),61.50,850-TZ,Trizeta,conector PP,16
14171,853.004.N03,KIT SUPORTE DECORATIVO (M),61.50,850-T,Tampa,conector PP,8
14171,853.004.N03,KIT SUPORTE DECORATIVO (M),61.50,BCO-01-AC,Barra comprimento C=180,madeira pinus,8
14171,853.004.N03,KIT SUPORTE DECORATIVO (M),61.50,BLA-01-AC,Barra largura C=200,madeira pinus,8
14171,853.004.N03,KIT SUPORTE DECORATIVO (M),61.50,BPE-01-AC,Barra pes C=60,madeira pinus,8
14171,853.004.N03,KIT SUPORTE DECORATIVO (M),61.50,PAN-02-AC,Painel 200x200x15,madeira pinus,4
14178,855.004.N03,PRATELEIRA MULTIUSO G 2P,57.18,850-TZ,Trizeta,conector PP,8
14178,855.004.N03,PRATELEIRA MULTIUSO G 2P,57.18,850-T,Tampa,conector PP,4
14178,855.004.N03,PRATELEIRA MULTIUSO G 2P,57.18,850-H,Porta-haste,conector PP,20
14178,855.004.N03,PRATELEIRA MULTIUSO G 2P,57.18,BLA-03-AC,Barra largura C=287,madeira pinus,4
14178,855.004.N03,PRATELEIRA MULTIUSO G 2P,57.18,BPE-01-AC,Barra pes C=60,madeira pinus,4
14179,856.004.N03,PRATELEIRA MULTIUSO G 3P,84.16,850-TZ,Trizeta,conector PP,12
14179,856.004.N03,PRATELEIRA MULTIUSO G 3P,84.16,850-T,Tampa,conector PP,4
14179,856.004.N03,PRATELEIRA MULTIUSO G 3P,84.16,850-H,Porta-haste,conector PP,30
14179,856.004.N03,PRATELEIRA MULTIUSO G 3P,84.16,BLA-03-AC,Barra largura C=287,madeira pinus,6
14179,856.004.N03,PRATELEIRA MULTIUSO G 3P,84.16,BPE-01-AC,Barra pes C=60,madeira pinus,4
14182,857.004.N03,PRATELEIRA MULTIUSO G 4P,109.12,850-TZ,Trizeta,conector PP,16
14182,857.004.N03,PRATELEIRA MULTIUSO G 4P,109.12,850-T,Tampa,conector PP,4
14182,857.004.N03,PRATELEIRA MULTIUSO G 4P,109.12,850-H,Porta-haste,conector PP,40
14182,857.004.N03,PRATELEIRA MULTIUSO G 4P,109.12,BAL-02-AC,Barra altura C=270,madeira pinus,12
14182,857.004.N03,PRATELEIRA MULTIUSO G 4P,109.12,BLA-03-AC,Barra largura C=287,madeira pinus,8
14182,857.004.N03,PRATELEIRA MULTIUSO G 4P,109.12,BPE-01-AC,Barra pes C=60,madeira pinus,4
14814,850-CZ,CRUZETA - NAO ENTRA EM NENHUMA BOM,,,,conector PP,0
