tampa;comprimento_cm;largura_cm;perimetro_cm;produtos_servidos;faturamento_12m;unidades;preco_medio;mb_pct;lucro_bruto;fita_m_ano;fita_kg_ano;litragem_na_janela;prioridade
RET-C 22,0x14,0;22,0;14,0;67,7;Raso 1,1L (233) + Alto 2,2L (156);774211;155949;4,96;47,7;369123;105577;263,9;sim (as duas);1
RET-D 26,0x18,0;26,0;18,0;82,7;Raso 2,3L (234) + Alto 4,3L (151);628778;80346;7,83;35,3;222143;66446;166,1;parcial (2,3L sim);2
RET-B 17,0x11,0;17,0;11,0;52,6;Raso 500ml (232) + Alto 850ml (155) + 157 + 158;618670;170465;3,63;50,1;309799;89733;224,3;nao;-
QUA-3770 20,0x19,0;20,0;19,0;73,3;Quadrado 1,8L;326047;68257;4,78;40,6;132436;50032;125,1;sim;3
UF-215 25,0x16,5;25,0;16,5;78,0;Ultraforte 2,1L;285918;42020;6,80;45,2;129183;32776;81,9;sim;4
UF-216 30,0x20,0;30,0;20,0;94,0;Ultraforte 4L + 203 tela;251633;24625;10,22;39,4;99039;23148;57,9;nao;-
RET-A 14,0x10,0;14,0;10,0;45,1;Raso 270ml (231) + Alto 460ml (154);239360;81138;2,95;60,8;145645;36609;91,5;nao;-
RED-2270 d22,5;22,5;20,5;80,8;Redondo 2,3L;230424;40882;5,64;24,6;56642;33033;82,6;sim (mas MB 24,6%);espera
UF-217 35,0x24,0;35,0;24,0;110,9;Ultraforte 6,9L;228190;13409;17,02;60,2;137277;14873;37,2;nao;-
QUA-3780 16,0x14,0;16,0;14,0;56,4;Quadrado 860ml;194512;52431;3,71;48,9;95132;29571;73,9;nao;-
QUA-3760 25,0x24,0;25,0;24,0;92,1;Quadrado 3,7L;184506;25816;7,15;46,4;85620;23782;59,5;limite;-
RED-2280 d17,5;17,5;16,5;63,9;Redondo 1,1L;118351;28120;4,21;52,3;61944;17974;44,9;sim (volume baixo);-
QUA-3790 12,0x11,0;12,0;11,0;43,2;Quadrado 360ml;95206;39373;2,42;56,8;54039;17025;42,6;nao;-
KIT-190;;;;Kit 3 pecas - usa tampas A+B+C;54252;3950;13,73;60,7;32908;0;0;herda;-
DIV-212 600ml;;;52,6 (estimado);Pote 2 divisoes 600ml;41559;5645;7,36;70,5;29309;2972;7,4;nao;-
RED-2290 d13,5;13,5;12,5;48,9;Redondo 450ml;38095;12892;2,95;38,0;14491;6302;15,8;nao;-
VAL-176 600ml;;;52,6 (estimado);Pote valvula+trava 600ml;31234;7542;4,14;65,2;20374;3970;9,9;nao;-
VAL-210 788ml;;;52,6 (estimado);Pote valvula+trava 788ml;15504;1826;8,49;60,7;9405;961;2,4;nao;-
TOTAL;;;;18 geometrias de tampa;4356450;854686;;46,0;2004508;554807;1387,0;;
