raiz;custo_transparente;custo_preto;razao;qtd_transparente;qtd_preto;fat_preto;sobrecusto_ano
151;5,36;8,87;1,65;21922;3468;33557;12172
154;1,07;2,85;2,66;36315;3288;9457;5853
155;1,59;3,49;2,19;59398;3335;12693;6337
156;2,90;5,53;1,91;51501;2844;16753;7480
2270;2,95;5,80;1,97;17444;18840;99419;53694
233;2,26;4,53;2,00;71119;2640;12710;5993
234;4,46;7,23;1,62;36191;2412;19526;6682
3770;2,77;5,21;1,88;56985;2064;11047;5036
2540;10,12;17,22;1,70;14809;1440;21525;10224
2570;4,78;8,23;1,72;19805;3007;26520;10374
2590;2,28;3,79;1,66;42745;9864;42040;14895
317;1,89;5,30;2,80;20183;564;3737;1923
190;5,58;11,79;2,11;1589;72;1140;447
303;4,47;8,64;1,93;3156;288;2850;1201
