familia,versao,vaos,niveis,larg_mm,prof_mm,alt_mm,trizetas,cruzetas,tampas,barra_474_vao,barra_prof,barra_346_vert,pes,paineis,painel_larg_mm,painel_prof_mm,chapas_1200x200,peso_kg,custo_estimado_brl,preco_2x_brl
CHECKOUT,P,2,5,1010,431,1444,20,10,6,20,15,24,6,10,494,431,15,24.5,451.43,902.85
CHECKOUT,M,3,5,1504,431,1444,20,20,8,30,20,32,8,15,494,431,23,36.1,665.79,1331.57
CHECKOUT,G,4,5,1998,431,1444,20,30,10,40,25,40,10,20,494,431,30,47.7,880.15,1760.3
PONTA DE GONDOLA,P,2,7,1010,431,2120,28,14,6,28,21,36,6,14,494,431,21,34.5,634.93,1269.86
PONTA DE GONDOLA,M,3,7,1504,431,2120,28,28,8,42,28,48,8,21,494,431,32,50.7,936.01,1872.02
PONTA DE GONDOLA,G,4,7,1998,431,2120,28,42,10,56,35,60,10,28,494,431,42,67.0,1237.09,2474.19
ILHA,P,2,4,1010,802,1106,16,8,6,16,12,18,6,8,494,802,20,32.8,611.59,1223.18
ILHA,M,3,4,1504,802,1106,16,16,8,24,16,24,8,12,494,802,30,48.5,905.36,1810.71
ILHA,G,4,4,1998,802,1106,16,24,10,32,20,30,10,16,494,802,40,64.1,1199.12,2398.24
PAREDAO,P,3,7,1504,431,2120,28,28,8,42,28,48,8,21,494,431,32,50.7,936.01,1872.02
PAREDAO,M,4,7,1998,431,2120,28,42,10,56,35,60,10,28,494,431,42,67.0,1237.09,2474.19
PAREDAO,G,5,7,2492,431,2120,28,56,12,70,42,72,12,35,494,431,53,83.2,1538.18,3076.36
