codprod,referencia,produto,campo_LARGURA_BLA,campo_COMPRIMENTO_PSC,campo_ALTURA,campo_TRAVESSA,painel
14170,850.004.N03,ARARA DE ROUPA,NENHUMA,PSC-04 717,PSA-05 513,PST-01 437,
14172,851.004.N03,SAPATEIRA PEQUENA,BLA-02-AC 207,PSC-02 415,NENHUMA,PST-01 437,
14173,852.004.N03,SAPATEIRA GRANDE,BLA-01-AC 200,PSC-02 415,BAL-01-AC 183,PST-01 437,PAN-01-AC
14171,853.004.N03,KIT SUPORTE DECORATIVO M,BLA-01-AC 200,NENHUMA,PSA-04 474,NENHUMA,PAN-02-AC
14178,855.004.N03,PRATELEIRA MULTIUSO G 2P,BLA-03-AC 287,PSC-03 595,PSA-03 424,PST-02 617,
14179,856.004.N03,PRATELEIRA MULTIUSO G 3P,BLA-03-AC 287,PSC-03 595,PSA-02 346,PST-02 617,
14182,857.004.N03,PRATELEIRA MULTIUSO G 4P,BLA-03-AC 287,PSC-03 595,BAL-02-AC 270,PST-02 617,
14177,858.004.N03,PRATELEIRA MULTIUSO M 2P,BLA-03-AC 287,PSC-02 415,PSA-03 424,PST-01 437,
14176,859.004.N03,PRATELEIRA MULTIUSO M 3P,BLA-03-AC 287,PSC-02 415,PSA-02 346,PST-01 437,
14181,860.004.N03,PRATELEIRA MULTIUSO M 4P,BLA-03-AC 287,PSC-02 415,BAL-02-AC 270,PST-01 437,
14174,861.004.N03,PRATELEIRA MULTIUSO P 2P,BLA-03-AC 287,PSC-01 315,PSA-03 424,BPS-01 337,
14175,862.004.N03,PRATELEIRA MULTIUSO P 3P,BLA-03-AC 287,PSC-01 315,PSA-02 346,BPS-01 337,
14180,863.004.N03,PRATELEIRA MULTIUSO P 4P,BLA-03-AC 287,PSC-01 315,BAL-02-AC 270,BPS-01 337,
14183,854.004.N03,KIT SUPORTE DECORATIVO G,SEM ESTRUTURA,SEM ESTRUTURA,SEM ESTRUTURA,SEM ESTRUTURA,
