modulo,custo_estimado_brl,rota1_compra_2x_brl,vinte_x_custo_brl,faixa_qualificadora_brl,caixas_a_250,rota2_copart_pago_brl,rota2_copart_compra_brl
Ilha P,380,759,7594,10000,40,380,10000
Checkout P,482,965,9648,10000,40,482,10000
Ponta P,545,1090,10903,15000,60,545,10000
Checkout M,711,1423,14227,15000,60,711,10000
Ilha M,737,1475,14746,15000,60,737,10000
Checkout G,940,1881,18806,25000,100,940,15000
Ponta M,1057,2114,21142,25000,100,1057,15000
Ilha G,1095,2190,21898,25000,100,1095,15000
Ponta G,1569,3138,31382,40000,160,1569,25000
Paredao P,1893,3787,37867,40000,160,1893,25000
Paredao M,2514,5028,50282,65000,260,2514,40000
Paredao G,3135,6270,62697,65000,260,3135,40000
