painel,painel_largura_mm,painel_comprimento_mm,profundidade,ripa_comprimento,ripa_comprimento_mm,ripa_largura,ripa_largura_mm,vao_externo_mm,profundidade_externa_mm,painel_menos_vao_mm,sobressai_por_lado_mm,vao_livre_entre_nos_mm
200x360,200,360,rasa,PSC-01,315,BLA-01-AC,200,357.02,285.26,2.98,0.0,233.8
200x450,200,450,rasa,PSC-02,415,BLA-01-AC,200,457.02,285.26,-7.02,0.0,333.8
200x634,200,634,rasa,PSC-03,595,BLA-01-AC,200,637.02,285.26,-3.02,0.0,513.8
200x754,200,754,rasa,PSC-04,717,BLA-01-AC,200,759.02,285.26,-5.02,0.0,635.8
300x360,300,360,media,PSC-01,315,BLA-03-AC,287,357.02,372.26,2.98,6.5,233.8
300x450,300,450,media,PSC-02,415,BLA-03-AC,287,457.02,372.26,-7.02,6.5,333.8
300x634,300,634,media,PSC-03,595,BLA-03-AC,287,637.02,372.26,-3.02,6.5,513.8
300x754,300,754,media,PSC-04,717,BLA-03-AC,287,759.02,372.26,-5.02,6.5,635.8
460x360,460,360,funda,PSC-01,315,PSC-02,415,357.02,500.26,2.98,22.5,233.8
460x450,460,450,funda,PSC-02,415,PSC-02,415,457.02,500.26,-7.02,22.5,333.8
460x634,460,634,funda,PSC-03,595,PSC-02,415,637.02,500.26,-3.02,22.5,513.8
460x754,460,754,funda,PSC-04,717,PSC-02,415,759.02,500.26,-5.02,22.5,635.8
