ripa_vertical,ripa_mm,modelo_no,coroa,passo_mm,pct_curva_na_baia,2_prat,3_prat,4_prat,5_prat,6_prat,7_prat,8_prat
BAL-02-AC,270,A,nenhuma,261.88,79.1,354,616,878,1140,1402,1664,1926
BAL-02-AC,270,A,ripa 270,261.88,79.1,616,878,1140,1402,1664,1926,2188
BAL-02-AC,270,A,ripa 513,261.88,79.1,859,1121,1383,1645,1907,2169,2431
BAL-02-AC,270,B,nenhuma,334.96,79.1,501,835,1170,1505,1840,2175,2510
BAL-02-AC,270,B,ripa 270,334.96,79.1,835,1170,1505,1840,2175,2510,2845
BAL-02-AC,270,B,ripa 513,334.96,79.1,1078,1413,1748,2083,2418,2753,3088
PSA-05,513,A,nenhuma,504.88,98.2,597,1102,1607,2112,2617,3122,3627
PSA-05,513,A,ripa 270,504.88,98.2,859,1364,1869,2374,2879,3384,3889
PSA-05,513,A,ripa 513,504.88,98.2,1102,1607,2112,2617,3122,3627,4132
PSA-05,513,B,nenhuma,577.96,98.2,744,1321,1899,2477,3055,3633,4211
PSA-05,513,B,ripa 270,577.96,98.2,1078,1656,2234,2812,3390,3968,4546
PSA-05,513,B,ripa 513,577.96,98.2,1321,1899,2477,3055,3633,4211,4789
