modulo,vaos,prateleiras,painel,comprimento_mm,profundidade_mm,altura_mm,peso_kg,custo_estimado,venda_direta_2x,vinte_x_custo,faixa_qualificadora
Checkout P,1,5,300x450,457,372,1140,9.2,166.57,333.14,3331.38,10000
Ilha P,1,4,460x634,637,500,878,13.1,241.16,482.32,4823.23,10000
Checkout M,2,5,300x450,892,372,1140,17.3,314.32,628.65,6286.47,10000
Checkout G,3,5,300x450,1327,372,1140,25.4,462.08,924.16,9241.56,10000
Ilha M,2,4,460x634,1252,500,878,25.1,465.42,930.85,9308.49,10000
Ponta de gôndola P,1,7,300x634,637,372,1664,26.2,485.42,970.85,9708.47,10000
Ilha G,3,4,460x634,1867,500,878,37.1,689.69,1379.38,13793.75,15000
Ponta de gôndola M,2,7,300x634,1252,372,1664,50.7,943.79,1887.58,18875.81,25000
Paredão P,3,8,200x754,2233,285,1926,72.6,1348.26,2696.52,26965.2,40000
Ponta de gôndola G,3,7,300x634,1867,372,1664,75.2,1402.16,2804.31,28043.15,40000
Paredão M,4,8,200x754,2970,285,1926,96.2,1788.29,3576.57,35765.74,40000
Paredão G,5,8,200x754,3707,285,1926,119.8,2228.31,4456.63,44566.27,65000
