modulo,vaos,prateleiras,painel,coroa,comprimento_mm,profundidade_mm,altura_mm,peso_kg,custo_estimado,venda_direta_2x,vinte_x_custo,faixa_qualificadora
Checkout P,1,5,300x450,270+gancheira,457,372,1402,9.8,176.17,352.34,3523.39,10000
Ilha P,1,4,460x634,sem,637,500,878,13.1,241.16,482.32,4823.23,10000
Checkout M,2,5,300x450,270+gancheira,892,372,1402,18.3,330.99,661.98,6619.75,10000
Ponta de gondola P,1,6,300x634,513,637,372,1907,21.6,399.75,799.5,7995.01,10000
Ilha M,2,4,460x634,sem,1252,500,878,25.1,465.42,930.85,9308.49,10000
Checkout G,3,5,300x450,270+gancheira,1327,372,1402,26.8,485.81,971.61,9716.12,10000
Ilha G,3,4,460x634,sem,1867,500,878,37.1,689.69,1379.38,13793.75,15000
Ponta de gondola M,2,6,300x634,513,1252,372,1907,41.6,771.94,1543.87,15438.72,25000
Ponta de gondola G,3,6,300x634,513,1867,372,1907,61.6,1144.12,2288.24,22882.43,25000
Paredao P,3,8,300x754,sem,2233,372,1926,94.5,1765.56,3531.12,35311.24,40000
Paredao M,4,8,300x754,sem,2970,372,1926,125.4,2343.69,4687.38,46873.81,65000
Paredao G,5,8,300x754,sem,3707,372,1926,156.3,2921.82,5843.64,58436.38,65000
