medida_de_mercado,referencia,min_mm,max_mm,equivalente_nitron,valor_mm,veredito
Corredor mais comum,42–48 in,1067,1219,corredor central do showroom,1621,acima da faixa: sobra folga
"Corredor de supermercado, 2 carrinhos",240–300 cm,2400,3000,corredor central,1621,abaixo: showroom não usa carrinho
"Gôndola, seção métrica",600–1000 mm,600,1000,vão PSC-03 / PSC-02 2 vãos,637,dentro
"Gôndola, prateleira superior",200–400 mm,200,400,profundidade 285 e 372,285,dentro
"Gôndola, prateleira base",300–500 mm,300,500,profundidade 372 e 500,500,no topo da faixa
"Gôndola dupla face, profundidade total",32–48 in,813,1219,2 × 500 costa a costa,1000,no meio da faixa
Altura de gôndola central,54 in,1372,1372,6 prateleiras,1402,"+2,2%"
Altura de gôndola de parede,72 in,1829,1829,8 prateleiras,1926,"+5,3%"
"End cap, largura",36 in,914,914,ponta 2 vãos PSC-02,892,"−2,4%"
"End cap, altura",54–72 in,1372,1829,ponta 6 prat + coroa 513,1907,"+4,3% sobre 72 in"
Zona de descompressão,5–15 ft,1524,4572,da porta ao primeiro módulo,2488,dentro
