modulo_id,modulo,prateleira,altura_face_mm,zona,profundidade_mm,faces,metros_lineares,ambiente
1,Paredao sul,1,100,chao,372,1,13.29,COZINHA
1,Paredao sul,2,362,chao,372,1,13.29,COZINHA
1,Paredao sul,3,624,chao,372,1,13.29,COZINHA
1,Paredao sul,4,886,maos,372,1,13.29,COZINHA
1,Paredao sul,5,1148,maos,372,1,13.29,COZINHA
1,Paredao sul,6,1409,olhos,372,1,13.29,COZINHA
1,Paredao sul,7,1671,olhos,372,1,13.29,COZINHA
1,Paredao sul,8,1933,topo,372,1,13.29,COZINHA
2,Paredao norte,1,100,chao,285,1,6.05,ORGANIZACAO
2,Paredao norte,2,362,chao,285,1,6.05,ORGANIZACAO
2,Paredao norte,3,624,chao,285,1,6.05,ORGANIZACAO
2,Paredao norte,4,886,maos,285,1,6.05,ORGANIZACAO
2,Paredao norte,5,1148,maos,285,1,6.05,ORGANIZACAO
2,Paredao norte,6,1409,olhos,285,1,6.05,ORGANIZACAO
2,Paredao norte,7,1671,olhos,285,1,6.05,ORGANIZACAO
2,Paredao norte,8,1933,topo,285,1,6.05,ORGANIZACAO
3,Paredao do fundo,1,100,chao,500,1,6.79,BANHO E LAVANDERIA
3,Paredao do fundo,2,605,chao,500,1,6.79,BANHO E LAVANDERIA
3,Paredao do fundo,3,867,maos,500,1,6.79,BANHO E LAVANDERIA
3,Paredao do fundo,4,1129,maos,500,1,6.79,BANHO E LAVANDERIA
3,Paredao do fundo,5,1390,maos,500,1,6.79,BANHO E LAVANDERIA
3,Paredao do fundo,6,1652,olhos,500,1,6.79,BANHO E LAVANDERIA
3,Paredao do fundo,7,1914,topo,500,1,6.79,BANHO E LAVANDERIA
4,Parede de entrada,1,100,chao,285,1,6.55,ORGANIZACAO
4,Parede de entrada,2,362,chao,285,1,6.55,ORGANIZACAO
4,Parede de entrada,3,624,chao,285,1,6.55,ORGANIZACAO
4,Parede de entrada,4,886,maos,285,1,6.55,ORGANIZACAO
10,"Gondola A, face corredor 1",1,100,chao,500,1,4.33,COZINHA
10,"Gondola A, face corredor 1",2,362,chao,500,1,4.33,COZINHA
10,"Gondola A, face corredor 1",3,624,chao,500,1,4.33,COZINHA
10,"Gondola A, face corredor 1",4,886,maos,500,1,4.33,COZINHA
10,"Gondola A, face corredor 1",5,1148,maos,500,1,4.33,COZINHA
10,"Gondola A, face corredor 1",6,1409,olhos,500,1,4.33,COZINHA
11,"Gondola A, face corredor 2",1,100,chao,500,1,4.33,COZINHA
11,"Gondola A, face corredor 2",2,362,chao,500,1,4.33,COZINHA
11,"Gondola A, face corredor 2",3,624,chao,500,1,4.33,COZINHA
11,"Gondola A, face corredor 2",4,886,maos,500,1,4.33,COZINHA
11,"Gondola A, face corredor 2",5,1148,maos,500,1,4.33,COZINHA
11,"Gondola A, face corredor 2",6,1409,olhos,500,1,4.33,COZINHA
12,"Gondola B, face corredor 2",1,100,chao,500,1,4.33,ORGANIZACAO
12,"Gondola B, face corredor 2",2,362,chao,500,1,4.33,ORGANIZACAO
12,"Gondola B, face corredor 2",3,624,chao,500,1,4.33,ORGANIZACAO
12,"Gondola B, face corredor 2",4,886,maos,500,1,4.33,ORGANIZACAO
12,"Gondola B, face corredor 2",5,1148,maos,500,1,4.33,ORGANIZACAO
12,"Gondola B, face corredor 2",6,1409,olhos,500,1,4.33,ORGANIZACAO
13,"Gondola B, face corredor 3",1,100,chao,500,1,4.33,ORGANIZACAO
13,"Gondola B, face corredor 3",2,362,chao,500,1,4.33,ORGANIZACAO
13,"Gondola B, face corredor 3",3,624,chao,500,1,4.33,ORGANIZACAO
13,"Gondola B, face corredor 3",4,886,maos,500,1,4.33,ORGANIZACAO
13,"Gondola B, face corredor 3",5,1148,maos,500,1,4.33,ORGANIZACAO
13,"Gondola B, face corredor 3",6,1409,olhos,500,1,4.33,ORGANIZACAO
20,Ponta 1,1,100,chao,372,1,0.89,COZINHA
20,Ponta 1,2,362,chao,372,1,0.89,COZINHA
20,Ponta 1,3,624,chao,372,1,0.89,COZINHA
20,Ponta 1,4,886,maos,372,1,0.89,COZINHA
20,Ponta 1,5,1148,maos,372,1,0.89,COZINHA
20,Ponta 1,6,1409,olhos,372,1,0.89,COZINHA
21,Ponta 2,1,100,chao,372,1,0.89,COZINHA
21,Ponta 2,2,362,chao,372,1,0.89,COZINHA
21,Ponta 2,3,624,chao,372,1,0.89,COZINHA
21,Ponta 2,4,886,maos,372,1,0.89,COZINHA
21,Ponta 2,5,1148,maos,372,1,0.89,COZINHA
21,Ponta 2,6,1409,olhos,372,1,0.89,COZINHA
22,Ponta 3,1,100,chao,372,1,0.89,ORGANIZACAO
