referencia,pagina,categoria_catalogo,nome_catalogo,com_cm,lar_cm,alt_cm,litragem
002.036.002,80,COZINHA,Tábua Popular,31.8,20.7,0.4,
003.006.002,14,ORGANIZACAO,,21,18,17.3,
003.006.003,14,ORGANIZACAO,,21,18,17.3,
003.006.012,14,ORGANIZACAO,,21,18,17.3,
004.006.002,14,ORGANIZACAO,,21,18,22.5,
004.006.003,14,ORGANIZACAO,,21,18,22.5,
004.006.012,14,ORGANIZACAO,,21,18,22.5,
006.030.998,67,INFANTIL,Copo Baby com Tampa - Sortido,,,,250ml
006.030.999,67,INFANTIL,Copo Baby com Tampa - Sortido,,,,250ml
008.012.002,103,LIMPEZA,Porta Sabão em Pó com Dosador,20.7,10.5,25,
008.012.003,103,LIMPEZA,Porta Sabão em Pó,12.9,7.9,15.5,
010.001.003,12,ORGANIZACAO,,50,50,72.5,
010.010.003,12,ORGANIZACAO,10 Peças - Preto,39.5,7,20,
010.012.001,12,ORGANIZACAO,Transparente,39.5,2.1,20,
011.036.001,15,ORGANIZACAO,Organiza Tudo com Divisórias Móveis,13.5,,,
012.012.016,103,LIMPEZA,Porta Sabão em Pó,12.9,7.9,15.5,
013.050.003,19,ORGANIZACAO,Suporte Para Botijão,,,,
013.050.004,19,ORGANIZACAO,Suporte Para Botijão,,,,
015.012.002,78,COZINHA,,,,,
015.012.003,78,COZINHA,Ralador Pratic com Pote,10.4,12.5,19.2,420ml
016.012.002,75,COZINHA,Talheres Max,24,11.5,13.5,
016.012.003,75,COZINHA,Talheres Max,24,11.5,13.5,
016.012.086,75,COZINHA,Talheres Max,24,11.5,13.5,
017.024.999,105,LIMPEZA,Pá de Lixo Inova,32.2,22.5,10.2,
018.030.002,80,COZINHA,Tábua Multiuso,20.5,35.6,0.4,
019.024.001,15,ORGANIZACAO,Maleta Organiza Tudo c/Divis. Móveis,20.5,11.8,,
020.024.001,86,MICRO-ONDAS,Micro-ondas com Tampa,,,,1.9L
023.030.002,78,COZINHA,Ralador com 4 Faces,10.4,12.5,19.2,420ml
024.012.002,104,LIMPEZA,Cestinho para Prendedor ﬂoral,26.8,14.4,13.5,
024.012.003,104,LIMPEZA,Cestinho para Prendedor ﬂoral,26.8,14.4,13.5,
027.012.001,54,POTES,Porta Pão Armazena e Conserva,34.5,14,13.5,"2,7L"
028.012.002,83,COZINHA,Escorredor de Arroz Tradicional,28,22,16,
028.012.003,83,COZINHA,Escorredor de Arroz Tradicional,28,22,16,
030.012.001,59,POTES,Pote Monterey com 3 Divisórias,21.2,21.2,5.5,"1,1L"
030.012.003,59,POTES,Pote Monterey com 3 Divisórias,21.2,21.2,5.5,"1,1L"
032.012.002,90,JARRAS,Jarra com Tampa,,,,2L
032.012.547,90,JARRAS,Jarra com Tampa,,,,2L
033.012.002,90,JARRAS,Jarra com Espremedor,,,,2L
033.012.547,90,JARRAS,Jarra com Espremedor,,,,2L
034.012.001,59,POTES,Pote Mônaco com 3 Divisórias,24.5,19,5,1L
034.012.003,59,POTES,Pote Mônaco com 3 Divisórias,24.5,19,5,1L
039.012.002,82,COZINHA,com Cabo,38.5,23,9,
039.012.003,82,COZINHA,com Cabo,38.5,23,9,
041.012.002,7,ORGANIZACAO,com 3 Divisórias,16,11,17.8,
041.012.003,7,ORGANIZACAO,com 3 Divisórias,16,11,17.8,
041.012.086,7,ORGANIZACAO,com 3 Divisórias,16,11,17.8,
043.012.002,29,FRASQUEIRAS,"Frasqueira Medicamentos 1,4L",19.1,15.7,10,"1,4L"
043.012.009,29,FRASQUEIRAS,"Frasqueira Medicamentos 1,4L",19.1,15.7,10,"1,4L"
044.012.005,79,COZINHA,Porta Leite de Saquinho,16,12,15,
045.012.001,86,MICRO-ONDAS,Micro-ondas com Tampa,,,,1.9L
046.012.002,78,COZINHA,Porta Óleo Itália,12,8.8,16.2,
046.012.003,78,COZINHA,Porta Óleo Itália,12,8.8,16.2,
047.012.002,18,ORGANIZACAO,Cesto Organizador Vime,,,,7L
047.012.003,18,ORGANIZACAO,Cesto Organizador Vime,,,,7L
050.012.001,59,POTES,Pote Premier com 4 Divisórias,,,,"1,1L"
050.012.003,59,POTES,Pote Premier com 4 Divisórias,,,,"1,1L"
051.012.002,75,COZINHA,3 em 1,28,10.2,6.5,
051.012.003,75,COZINHA,3 em 1,28,10.2,6.5,
051.012.086,75,COZINHA,3 em 1,28,10.2,6.5,
052.006.002,97,LIXEIRAS,Lixeira Rattan com Pedal,,,,6L
052.006.003,97,LIXEIRAS,Lixeira Rattan com Pedal,,,,6L
052.006.086,97,LIXEIRAS,Lixeira Rattan com Pedal,,,,6L
053.004.002,13,ORGANIZACAO,4 Andares,39.5,30,70.5,
053.004.003,13,ORGANIZACAO,4 Andares,39.5,30,70.5,
054.004.001,103,LIMPEZA,Cesto de Roupas,47.5,34,50,47L
054.004.003,103,LIMPEZA,Cesto de Roupas,,,,
055.012.002,83,COZINHA,Escorredor Multiuso,26,21.5,19,
055.012.003,83,COZINHA,Escorredor Multiuso,26,21.5,19,
056.012.002,82,COZINHA,Escorredor Luxo com Cabo,38.5,25,11.5,
056.012.003,82,COZINHA,Escorredor Luxo com Cabo,38.5,25,11.5,
059.012.002,74,COZINHA,Escorredor de Pratos,42.2,30.5,9.5,
059.012.003,74,COZINHA,Escorredor de Pratos,42.2,30.5,9.5,
059.012.086,74,COZINHA,Escorredor de Pratos,42.2,30.5,9.5,
060.012.002,76,COZINHA,Porta Talher Paris com 4 Divisórias e Tampa,32.5,21.5,5,
060.012.003,76,COZINHA,Porta Talher Paris com 4 Divisórias e Tampa,32.5,21.5,5,
062.012.002,5,ORGANIZACAO,Rattan com Tampa,25.5,20,10.7,4L
062.012.003,5,ORGANIZACAO,Rattan com Tampa,25.5,20,10.7,4L
062.012.086,5,ORGANIZACAO,Rattan com Tampa,25.5,20,10.7,4L
064.012.002,91,JARRAS,Jarra com Tubo para Gelo,,,,2L
064.012.547,91,JARRAS,Jarra com Tubo para Gelo,,,,2L
065.012.002,5,ORGANIZACAO,Rattan com Tampa,20.5,15.4,9,2L
065.012.003,5,ORGANIZACAO,Rattan com Tampa,20.5,15.4,9,2L
065.012.086,5,ORGANIZACAO,Rattan com Tampa,20.5,15.4,9,2L
067.012.002,81,COZINHA,Saleiro,16,11,12,
067.012.003,81,COZINHA,Saleiro Premier com Alça,15.5,11,13.2,
068.012.002,5,ORGANIZACAO,Rattan com Tampa,32.3,22.5,14.8,8L
068.012.003,5,ORGANIZACAO,Rattan com Tampa,32.3,22.5,14.8,8L
068.012.086,5,ORGANIZACAO,Rattan com Tampa,32.3,22.5,14.8,8L
069.006.002,5,ORGANIZACAO,Rattan com Tampa,38.5,28,19,16L
069.006.003,5,ORGANIZACAO,Rattan com Tampa,38.5,28,19,16L
069.006.086,5,ORGANIZACAO,Rattan com Tampa,38.5,28,19,16L
070.006.002,82,COZINHA,Escorredor Luxo,34.8,27.8,14.5,
070.006.003,82,COZINHA,Escorredor Luxo,34.8,27.8,14.5,
075.024.001,54,POTES,Sanduicheira Pratic,13.9,12.5,7,600ml
076.024.001,108,BANHEIRO,Saboneteira com Tampa,10.8,7.8,4.2,
076.024.066,108,BANHEIRO,Saboneteira com Tampa,10.8,7.8,4.2,
077.012.002,82,COZINHA,Escorredor Ideal,26.7,24,10,
077.012.003,82,COZINHA,Escorredor Ideal,26.7,24,10,
078.036.001,91,JARRAS,Firenze,,,,2L
079.012.002,109,BANHEIRO,Prateleira Madri,17,9.2,39.6,
079.012.003,109,BANHEIRO,Prateleira Madri,17,9.2,39.6,
081.012.002,78,COZINHA,Porta Papel Toalha,19.5,14.8,26.3,
081.012.003,78,COZINHA,Porta Papel Toalha,19.5,14.8,26.3,
088.012.002,90,JARRAS,Jarra com Tampa,,,,1.6L
088.012.547,90,JARRAS,Jarra com Tampa,,,,2L
090.012.002,81,COZINHA,Saleiro Rubi,17,11,12,350ml
090.012.003,81,COZINHA,Açucareiro Doçura,12.5,9,9.4,350ml
091.012.002,101,LIXEIRAS,Lixeira Verona,,,,4L
091.012.003,101,LIXEIRAS,Lixeira Verona,,,,4L
092.012.002,108,BANHEIRO,Parede com Ventosa,13.6,9.5,7.5,
092.012.003,108,BANHEIRO,Parede com Ventosa,13.6,9.5,7.5,
093.012.002,18,ORGANIZACAO,Cestinho Versátil,,,,"4,2L"
093.012.003,18,ORGANIZACAO,Cestinho Versátil,,,,"4,2L"
094.012.002,81,COZINHA,Açucareiro Doçura,12.5,9,9.4,350ml
094.012.003,81,COZINHA,Açucareiro Doçura,12.5,9,9.4,350ml
095.012.002,109,BANHEIRO,Banheiro Premium,21.5,14.3,38.6,
095.012.003,109,BANHEIRO,Banheiro Premium,21.5,14.3,38.6,
096.012.002,71,COZINHA,Escorredor de Pratos Rattan,33.7,22.2,9.8,
096.012.003,71,COZINHA,Escorredor de Pratos Rattan,33.7,22.2,9.8,
096.012.086,71,COZINHA,Escorredor de Pratos Rattan,33.7,22.2,9.8,
097.012.001,17,ORGANIZACAO,,41,29.3,13.6,10L
098.012.999,105,LIMPEZA,Balde Limpex,31.2,28.3,24.3,8L
100.006.002,100,LIXEIRAS,Lixeira com Pedal,,,,7L
100.006.003,100,LIXEIRAS,Lixeira com Pedal,,,,7L
103.024.003,57,POTES,Com Bandeja,,,,
105.024.003,58,POTES,com Bandeja e Válvula,,,,800ml
106.012.001,15,ORGANIZACAO,Maleta Organiza Tudo c/Divis. Móveis,30,19.5,,
109.012.001,17,ORGANIZACAO,,37,22.8,13,6L
110.006.001,17,ORGANIZACAO,,41,29.3,25.6,20L
111.012.002,90,JARRAS,Espremedor Portátil Fit,,,,510ml
111.012.549,90,JARRAS,Espremedor Portátil Fit,,,,510ml
112.012.002,91,JARRAS,Jarra Medidora Top Mix,,,,500ml
112.012.547,91,JARRAS,Jarra Medidora Top Mix,,,,500ml
113.012.002,104,LIMPEZA,Tanquinho Porta Sabão em Barra,13.2,12.9,12.2,
113.012.003,104,LIMPEZA,Tanquinho Porta Sabão em Barra,13.2,12.9,12.2,
114.012.002,90,JARRAS,Jarrinhs com Espremedor,,,,500ml
114.012.547,90,JARRAS,Espremedor Portátil Fit,,,,510ml
116.012.002,75,COZINHA,com Telinha,23,10.5,6.5,
116.012.003,75,COZINHA,com Telinha,23,10.5,6.5,
116.012.086,75,COZINHA,com Telinha,23,10.5,6.5,
117.012.002,80,COZINHA,Tábua Extra Grande,39,24.5,0.5,
120.006.001,31,FRASQUEIRAS,Frasqueira com Bandeja,24.2,16.3,12.8,"2,8L"
120.006.012,31,FRASQUEIRAS,Frasqueira com Bandeja,24.2,16.3,12.8,"2,8L"
121.012.002,83,COZINHA,Escorredor de Arroz Caribe,25.4,16.5,14.7,
121.012.003,83,COZINHA,Escorredor de Arroz Caribe,25.4,16.5,14.7,
122.012.002,108,BANHEIRO,Parede com Ventosa,13.6,9.5,7.5,
122.012.003,108,BANHEIRO,Saboneteira com Tampa,10.8,7.8,4.2,
122.012.066,108,BANHEIRO,Saboneteira com Telinha,10.8,7.8,4.2,
123.012.027,19,ORGANIZACAO,"Caixa de Ferramentas Nitronfort 2,2L",29,14,9.8,"2,2L"
123.012.028,19,ORGANIZACAO,"Caixa de Ferramentas Nitronfort 2,2L",29,14,9.8,"2,2L"
123.012.045,19,ORGANIZACAO,"Caixa de Ferramentas Nitronfort 2,2L",29,14,9.8,"2,2L"
124.012.003,57,POTES,Com Bandeja e Talheres,,,,
125.012.001,17,ORGANIZACAO,,29,17.8,14.5,"4,3L"
126.006.001,31,FRASQUEIRAS,Frasqueira com Bandeja,28,19.8,18.8,"6,2L"
126.006.619,31,FRASQUEIRAS,Frasqueira com Bandeja,28,19.8,18.8,"6,2L"
128.012.002,104,LIMPEZA,Cestinho para Prendedor,24,18.8,11,
128.012.003,104,LIMPEZA,Cestinho para Prendedor ﬂoral,26.8,14.4,13.5,
129.012.002,76,COZINHA,Porta Talher Stillo com 4 Divisórias,30,21.5,4.2,
129.012.003,76,COZINHA,Porta Talher Stillo com 4 Divisórias,30,21.5,4.2,
130.012.002,101,LIXEIRAS,Lixeira Retrátil,,,,4L
130.012.003,101,LIXEIRAS,Lixeira Retrátil,,,,4L
131.012.002,29,FRASQUEIRAS,"Frasqueira Medicamentos 2,2L",29,14,9.8,"2,2L"
131.012.009,29,FRASQUEIRAS,"Frasqueira Medicamentos 2,2L",29,14,9.8,"2,2L"
132.036.683,67,INFANTIL,Prato Unitário,,,,
133.012.002,71,COZINHA,Porta Detergente Rattan com Base,19.7,10.5,7,
133.012.003,71,COZINHA,Porta Detergente Rattan com Base,19.7,10.5,7,
133.012.086,71,COZINHA,Porta Detergente Rattan com Base,19.7,10.5,7,
134.012.002,97,LIXEIRAS,Lixeira Basculante Rattan,,,,6L
134.012.003,97,LIXEIRAS,Lixeira Basculante Rattan,,,,6L
134.012.086,97,LIXEIRAS,Lixeira Basculante Rattan,,,,6L
135.024.001,86,MICRO-ONDAS,Tampa para Micro-ondas,,,,1.9L
136.024.001,86,MICRO-ONDAS,Travessa Micro-ondas c/Tampa,,,,"1,5L"
137.012.002,29,FRASQUEIRAS,"Frasqueira Medicamentos 2,8L",24.2,16.3,12.8,"2,8L"
137.012.009,29,FRASQUEIRAS,"Frasqueira Medicamentos 2,8L",24.2,16.3,12.8,"2,8L"
138.012.001,15,ORGANIZACAO,Organiza Tudo com Divisórias Móveis,26.2,17.5,,
139.012.001,59,POTES,Pote com 3 Divisórias,12.9,7.9,15.7,"1,1L"
139.012.003,59,POTES,Pote com 3 Divisórias,12.9,7.9,15.7,"1,1L"
140.012.001,13,ORGANIZACAO,Estojo Multiuso,21,6.8,3.5,
140.012.066,13,ORGANIZACAO,Estojo Multiuso,21,6.8,3.5,
142.006.002,30,FRASQUEIRAS,"Medicamentos 6,2L",28,19.8,18.8,"6,2L"
142.006.009,30,FRASQUEIRAS,"Medicamentos 6,2L",28,19.8,18.8,"6,2L"
144.006.002,76,COZINHA,Porta Talher com 6 Divisórias e Tampa,34,29,5,
144.006.003,76,COZINHA,Porta Talher com 6 Divisórias e Tampa,34,29,5,
146.024.001,86,MICRO-ONDAS,Forma de Ovos e Omeleteira Micro-ondas,18,15,6,
147.012.604,30,FRASQUEIRAS,Frasqueira Mini,15,12.5,9.5,1L
147.012.607,30,FRASQUEIRAS,Frasqueira Cristal com Divisórias,20.2,11.5,11,"1,5L"
148.004.002,101,LIXEIRAS,Lixeira Basculante,,,,14L
148.004.003,101,LIXEIRAS,Lixeira Basculante,,,,14L
149.024.001,85,MICRO-ONDAS,Micro-ondas,,,,"2,6L"
150.004.002,100,LIXEIRAS,Lixeira com Pedal,,,,16L
150.004.003,100,LIXEIRAS,Lixeira com Pedal,,,,16L
151.012.001,43,POTES,Pote Alto com Travas,,,,"4,3L"
151.012.003,43,POTES,Pote Alto com Travas,,,,"4,3L"
152.006.002,53,POTES,Kit Mantimentos  5 Peças,,,,3L
152.006.003,53,POTES,Kit Mantimentos  5 Peças,,,,3L
153.012.002,89,JARRAS,Jarra com Tampa Flip Top,,,,2L
153.012.546,89,JARRAS,Jarra com Tampa Flip Top,,,,2L
154.006.861,63,POTES,,,,,
154.012.001,43,POTES,Pote Alto com Travas,,,,460ml
154.012.003,43,POTES,Pote Alto com Travas,,,,460ml
155.006.861,63,POTES,com 2 Peças,17,11,18,850ml
155.012.001,43,POTES,Pote Alto com Travas,,,,850ml
155.012.003,43,POTES,Pote Alto com Travas,,,,850ml
156.012.001,43,POTES,Pote Alto com Travas,,,,"2,2L"
156.012.003,43,POTES,Pote Alto com Travas,,,,"2,2L"
157.024.009,43,POTES,Pote Alto com Travas,,,,850ml
158.024.029,43,POTES,Pote Alto com Travas,,,,850ml
161.012.002,18,ORGANIZACAO,Porta Tudo,,,,1L
161.012.0031,18,ORGANIZACAO,,,,,
162.012.002,18,ORGANIZACAO,Cesto com Alça,,,,"8,5L"
162.012.003,18,ORGANIZACAO,Cesto com Alça,,,,"8,5L"
163.004.002,100,LIXEIRAS,Lixeira Vime,,,,12L
163.004.003,100,LIXEIRAS,Lixeira Vime,,,,12L
163.004.086,100,LIXEIRAS,Lixeira Vime,,,,12L
164.006.001,15,ORGANIZACAO,Maleta Organiza Tudo c/Divis. Móveis,36,,,
165.006.002,74,COZINHA,Escorredor de Pratos,49,35.5,11.1,
165.006.003,74,COZINHA,Escorredor de Pratos,49,35.5,11.1,
165.006.086,74,COZINHA,Escorredor de Pratos,49,35.5,11.1,
166.024.001,54,POTES,Porta Biscoitos e Torradas,23.1,9.1,8.9,650ml
167.010.003,12,ORGANIZACAO,10 Peças - Preto,39,7,19.5,
167.012.001,12,ORGANIZACAO,3 Peças - Transparente,39,2.1,19.5,
169.012.002,79,COZINHA,Boleira Barcelona com Alça,,,,
169.012.003,79,COZINHA,Boleira Barcelona com Alça,,,,
170.006.027,19,ORGANIZACAO,Caixa de Ferramentas Nitronfort 16L,40.3,22.3,18.3,16L
170.006.028,19,ORGANIZACAO,Caixa de Ferramentas Nitronfort 16L,40.3,22.3,18.3,16L
170.006.045,19,ORGANIZACAO,Caixa de Ferramentas Nitronfort 16L,40.3,22.3,18.3,16L
