referencia;achou;codprod;descrprod;ativo;codgrupoprod;nomegrupo;largura;altura;espessura;usomarcaprop;veredito_artefato;obs_artefato
002.036.002;S;38;TABUA POPULAR - BRANCA (018/B);S;1000100;Linha Cozinha;20.70;0.40;31.80;S;ok;
003.006.002;S;282;GAVETEIRO COM 3 GAVETAS - BRANCA (004/3B);S;1000600;Linha Organização;18.00;17.30;21.00;S;ok;
003.006.003;S;283;GAVETEIRO COM 3 GAVETAS - PRETA (004/3P);S;1000600;Linha Organização;18.00;17.30;21.00;S;ok;
003.006.012;S;6541;GAVETEIRO COM 3 GAVETAS - ROSA;S;1000600;Linha Organização;18.00;17.30;21.00;S;ok;
004.006.002;S;285;GAVETEIRO COM 4 GAVETAS - BRANCA (004/4B);S;1000600;Linha Organização;18.00;22.50;21.00;S;ok;
004.006.003;S;286;GAVETEIRO COM 4 GAVETAS - PRETA (004/4P);S;1000600;Linha Organização;18.00;22.50;21.00;S;ok;
004.006.012;S;6542;GAVETEIRO COM 4 GAVETAS - ROSA;S;1000600;Linha Organização;18.00;22.50;21.00;S;ok;
006.030.998;S;14063;COPO BABY COM TAMPA - CACHORRO/PANDA 250ML;S;1000900;Linha Infantil;7.00;10.80;7.00;S;ok;
006.030.999;S;471;COPO BABY COM TAMPA - SORTIDO 250 ML (006);S;1000900;Linha Infantil;7.00;10.80;7.00;S;ok;
008.012.002;S;6543;PORTA SABAO EM PO COM DOSADOR - BRANCO 2 KG;S;1000300;Linha Limpeza;10.50;25.00;20.70;S;ok;
008.012.003;S;6544;PORTA SABAO EM PO COM DOSADOR - PRETO 2 KG;S;1000300;Linha Limpeza;10.50;25.00;20.70;S;ok;
010.001.003;S;13998;CAIXA EXPOSITORA COM 40 KITS COM 10 CABIDES - PRETO;S;1000600;Linha Organização;0.70;20.00;39.50;S;ok;
010.010.003;S;13999;CABIDE COM 10 PECAS - PRETO;S;1000600;Linha Organização;0.70;20.00;39.50;S;ok;
010.012.001;S;7186;CABIDE COM 3 PECAS - TRANSPARENTE;S;1000600;Linha Organização;0.70;20.00;39.50;S;ok;
011.036.001;S;226;ORGANIZA TUDO COM 7 DIVISORIAS (011);S;1000600;Linha Organização;9.50;3.20;13.50;S;ok;
012.012.016;S;6697;PORTA SABAO EM PO 600 G;S;1000300;Linha Limpeza;7.90;15.70;12.90;S;ok;
013.050.003;S;8245;SUPORTE PARA BOTIJAO - PRETO;S;1000600;Linha Organização;29.00;6.00;29.00;S;ok;
013.050.004;S;228;SUPORTE PARA BOTIJAO - AREIA (013);S;1000600;Linha Organização;29.00;6.00;29.00;S;ok;
015.012.002;S;6547;RALADOR PRATIC COM POTE - BRANCO 420ML;S;1000100;Linha Cozinha;11.50;5.40;21.00;S;ok;
015.012.003;S;6548;RALADOR PRATIC COM POTE - PRETO 420ML;S;1000100;Linha Cozinha;11.50;5.40;21.00;S;ok;
016.012.002;S;3296;ESCORREDOR DE TALHERES MAX - BRANCO (016/B);S;1000100;Linha Cozinha;11.50;13.50;24.00;S;ok;
016.012.003;S;3297;ESCORREDOR DE TALHERES MAX - PRETO (016/P);S;1000100;Linha Cozinha;24.00;13.50;11.60;S;ok;
016.012.086;S;11822;ESCORREDOR DE TALHERES MAX - CHUMBO;S;1000100;Linha Cozinha;24.00;13.50;11.60;S;ok;
017.024.999;S;229;PA DE LIXO INOVA (017);S;1000300;Linha Limpeza;22.50;10.20;32.20;S;ok;
018.030.002;S;3;TABUA MULTIUSO GRANDE (018);S;1000100;Linha Cozinha;20.50;0.40;35.60;S;ok;
019.024.001;S;230;ORGANIZA TUDO COM 10 DIVISORIAS (019);S;1000600;Linha Organização;11.80;4.10;20.50;S;ok;
020.024.001;S;178;FORMA DE PUDIM PARA MICRO-ONDAS 1,9L (020);S;1000400;Linha Micro-ondas;23.50;7.00;26.00;S;ok;
023.030.002;S;4;RALADOR COM 4 FACES (023);S;1000100;Linha Cozinha;12.50;19.20;10.40;S;ok;
024.012.002;S;6553;CESTINHO PARA PRENDEDOR FLORAL - BRANCO;S;1000300;Linha Limpeza;14.40;13.50;26.80;S;ok;
024.012.003;S;6554;CESTINHO PARA PRENDEDOR FLORAL - PRETO;S;1000300;Linha Limpeza;14.40;13.50;26.80;S;ok;
027.012.001;S;163;PORTA PAO ARMAZENA E CONSERVA - 2,7L (027);S;1000200;Linha Potes;14.00;13.50;34.50;S;ok;
