referencia,codprod,nome,pagina,categoria_catalogo,ambiente,linha_erp,comprimento_mm,largura_mm,altura_mm,fonte_cota,classe,frente_mm,profundidade_min_mm,baia_mm,faturamento_12m,clientes
137.012.002,257,"Frasqueira Medicamentos 2,8L",29,FRASQUEIRAS,FRASQUEIRAS E INFANTIL,Linha Frasqueiras,242.0,163.0,128.0,erp,gondola,163,285,270,1673686.75,1162
142.006.002,260,"Medicamentos 6,2L",30,FRASQUEIRAS,FRASQUEIRAS E INFANTIL,Linha Frasqueiras,280.0,198.0,188.0,erp,gondola,198,285,270,1439168.58,989
013.050.004,228,Suporte Para Botijão,19,ORGANIZACAO,ORGANIZACAO,Linha Organização,290.0,290.0,60.0,erp,gondola,290,372,270,1278677.41,722
052.006.003,431,Lixeira Rattan com Pedal,97,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,235.0,208.0,260.0,erp,gondola,208,285,513,1019431.18,1313
052.006.002,427,Lixeira Rattan com Pedal,97,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,242.0,210.0,260.0,erp,gondola,210,285,513,904483.82,1110
172.012.999,268,Pá de Lixo com Cabo,105,LIMPEZA,BANHO E LAVANDERIA,Linha Limpeza,246.0,180.0,666.0,erp,gondola,180,285,,874221.25,1050
041.012.003,293,Organizador Multiuso Rattan Com 3 Divisorias - Preto (041/P),7,ORGANIZACAO,ORGANIZACAO,Linha Organização,160.0,110.0,178.0,erp,gondola,110,285,270,859105.0,1727
163.004.003,451,Lixeira Vime,100,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,232.0,270.0,320.0,erp,gondola,232,285,513,770151.73,890
004.006.003,286,Gaveteiro Com 4 Gavetas - Preta (004/4P),14,ORGANIZACAO,ORGANIZACAO,Linha Organização,210.0,180.0,225.0,erp,gondola,180,285,270,739649.29,589
013.050.003,8245,Suporte Para Botijão,19,ORGANIZACAO,ORGANIZACAO,Linha Organização,290.0,290.0,60.0,erp,gondola,290,372,270,663645.62,1146
043.012.002,296,"Frasqueira Medicamentos 1,4L",29,FRASQUEIRAS,FRASQUEIRAS E INFANTIL,Linha Frasqueiras,191.0,157.0,100.0,erp,gondola,157,285,270,663232.39,1065
185.012.003,3174,Porta Vassouras com 9 posições,105,LIMPEZA,BANHO E LAVANDERIA,Linha Limpeza,340.0,50.0,50.0,erp,gondola,50,372,270,639710.47,1115
293.006.002,3579,Kit Potes Acoplados com 5 Peças,49,POTES,COZINHA,Linha Potes,,,,sem cota,sem cota,,,,609066.07,412
069.006.003,347,Rattan com Tampa,5,ORGANIZACAO,ORGANIZACAO,Linha Organização,385.0,280.0,190.0,erp,gondola,280,500,270,606962.34,512
408.012.002,8017,Kit Churros Fácil,94,DECOR,COZINHA,Decor-Confeitaria,165.0,165.0,235.0,erp,gondola,165,285,270,606220.53,839
255.036.016,218,Firenze com Tampa,91,JARRAS,COZINHA,Linha Cozinha,305.0,119.0,39.0,erp,gondola,119,372,270,594517.32,826
069.006.002,343,Rattan com Tampa,5,ORGANIZACAO,ORGANIZACAO,Linha Organização,385.0,280.0,190.0,erp,gondola,280,500,270,566454.34,418
134.012.003,443,Lixeira Basculante Rattan,97,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,190.0,160.0,300.0,erp,gondola,160,285,513,561419.34,911
052.006.086,11828,Lixeira Rattan com Pedal,97,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,235.0,208.0,260.0,erp,gondola,208,285,513,550624.96,688
122.012.003,7160,Saboneteira com Tampa,108,BANHEIRO,BANHO E LAVANDERIA,Linha Banheiro,115.0,89.0,202.0,erp,gondola,89,285,270,534063.95,1170
106.012.001,245,Maleta Organiza Tudo c/Divis. Móveis,15,ORGANIZACAO,ORGANIZACAO,Linha Organização,300.0,195.0,48.0,erp,gondola,195,372,270,533419.13,783
133.012.003,64,Porta Detergente Rattan com Base,71,COZINHA,COZINHA,Linha Cozinha,197.0,105.0,70.0,erp,gondola,105,285,270,522953.07,1380
027.012.001,163,Porta Pão Armazena e Conserva,54,POTES,COZINHA,Linha Potes,345.0,140.0,135.0,erp,gondola,140,372,270,519707.0,1089
254.006.002,1768,Modular Rattan,7,ORGANIZACAO,ORGANIZACAO,Linha Organização,328.0,265.0,145.0,erp,gondola,265,372,270,508523.35,246
122.012.002,6594,Parede com Ventosa,108,BANHEIRO,BANHO E LAVANDERIA,Linha Banheiro,115.0,89.0,202.0,erp,gondola,89,285,270,501028.91,1209
179.024.001,212,Porta Frios com Pinça,77,COZINHA,COZINHA,Linha Cozinha,262.0,175.0,53.0,erp,gondola,175,285,270,498382.64,775
004.006.002,285,Gaveteiro Com 4 Gavetas - Branca (004/4B),14,ORGANIZACAO,ORGANIZACAO,Linha Organização,210.0,180.0,225.0,erp,gondola,180,285,270,472218.28,359
186.006.002,272,Mega Luxo,30,FRASQUEIRAS,FRASQUEIRAS E INFANTIL,Linha Frasqueiras,370.0,250.0,220.0,erp,gondola,250,372,270,442151.62,378
046.012.003,6325,Porta Óleo Itália,78,COZINHA,COZINHA,Linha Cozinha,120.0,88.0,162.0,erp,gondola,88,285,270,438457.13,1746
353.006.001,6103,Kit Potes Modulares com 6 Peças,50,POTES,COZINHA,Linha Potes,217.0,110.0,285.0,erp,gondola,110,285,513,435974.81,178
144.006.003,6304,Porta Talher com 6 Divisórias e Tampa,76,COZINHA,COZINHA,Linha Cozinha,340.0,290.0,50.0,erp,gondola,290,372,270,434598.16,1138
396.006.003,9708,Lixeira Flat com Pedal,99,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,256.0,172.0,268.0,erp,gondola,172,285,513,422993.52,494
079.012.003,3307,Prateleira Madri,109,BANHEIRO,BANHO E LAVANDERIA,Linha Banheiro,170.0,92.0,396.0,erp,gondola,92,285,513,422170.48,1167
185.012.002,368,Porta Vassouras com 9 posições,105,LIMPEZA,BANHO E LAVANDERIA,Linha Limpeza,340.0,50.0,50.0,erp,gondola,50,372,270,419905.88,761
170.006.028,266,Caixa de Ferramentas Nitronfort 16L,19,ORGANIZACAO,ORGANIZACAO,Linha Organização,403.0,223.0,183.0,erp,gondola,223,500,270,419184.92,489
187.006.001,273,Organiza Tudo com Divisórias Móveis,15,ORGANIZACAO,ORGANIZACAO,Linha Organização,360.0,270.0,60.0,erp,gondola,270,372,270,414222.22,505
019.024.001,230,Maleta Organiza Tudo c/Divis. Móveis,15,ORGANIZACAO,ORGANIZACAO,Linha Organização,205.0,118.0,41.0,erp,gondola,118,285,270,408590.74,872
144.006.002,6303,Porta Talher com 6 Divisórias e Tampa,76,COZINHA,COZINHA,Linha Cozinha,340.0,290.0,50.0,erp,gondola,290,372,270,407369.62,1048
254.006.001,3814,Modular Rattan,7,ORGANIZACAO,ORGANIZACAO,Linha Organização,328.0,265.0,145.0,erp,gondola,265,372,270,404940.5,326
138.012.001,258,Organiza Tudo com Divisórias Móveis,15,ORGANIZACAO,ORGANIZACAO,Linha Organização,262.0,175.0,43.0,erp,gondola,175,285,270,387480.06,861
059.012.003,3304,Escorredor de Pratos,74,COZINHA,COZINHA,Linha Cozinha,118.0,422.0,92.0,erp,gondola,118,500,270,384282.31,911
283.004.003,4332,Lixeira Juta com Pedal,98,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,345.0,175.0,325.0,erp,gondola,175,372,513,380323.43,559
