referencia,nome,ambiente,categoria_catalogo,modulo,prateleira,altura_face_mm,zona,frente_mm,baia_mm,faturamento_12m,clientes
449.006.003,Lixeira Juta com Pedal,BANHO E LAVANDERIA,LIXEIRAS,Paredao do fundo,1,100,chao,163,513,137034.32,452
211.012.002,Cantoneira Para Banheiro Smart - Branco (211/B),BANHO E LAVANDERIA,BANHEIRO,Paredao do fundo,1,100,chao,170,513,106403.06,440
211.012.003,Cantoneira Para Banheiro Smart - Preto (211/P),BANHO E LAVANDERIA,BANHEIRO,Paredao do fundo,1,100,chao,173,513,93948.91,427
552.004.002,Cesto de Roupas Empilhável,BANHO E LAVANDERIA,LIMPEZA,Paredao do fundo,1,100,chao,345,,81704.55,70
398.004.003,Lixeira Flat com Clique,BANHO E LAVANDERIA,LIXEIRAS,Paredao do fundo,1,100,chao,185,513,50066.56,232
449.006.002,Lixeira Juta com Pedal,BANHO E LAVANDERIA,LIXEIRAS,Paredao do fundo,1,100,chao,163,513,47808.72,235
173.012.003,Lixeira Fênix,BANHO E LAVANDERIA,LIXEIRAS,Paredao do fundo,1,100,chao,200,513,42927.25,255
552.004.003,Cesto de Roupas Empilhável,BANHO E LAVANDERIA,LIMPEZA,Paredao do fundo,1,100,chao,345,,35560.2,38
173.012.002,Lixeira Fênix,BANHO E LAVANDERIA,LIXEIRAS,Paredao do fundo,1,100,chao,200,513,34939.9,217
398.004.086,Lixeira Flat com Clique,BANHO E LAVANDERIA,LIXEIRAS,Paredao do fundo,1,100,chao,185,513,28048.78,80
054.004.001,Cesto de Roupas,BANHO E LAVANDERIA,LIMPEZA,Paredao do fundo,1,100,chao,340,,25814.42,53
449.006.086,Lixeira Juta com Pedal,BANHO E LAVANDERIA,LIXEIRAS,Paredao do fundo,1,100,chao,163,513,20915.57,121
398.004.002,Lixeira Flat com Clique,BANHO E LAVANDERIA,LIXEIRAS,Paredao do fundo,1,100,chao,185,513,18599.4,159
054.004.003,Cesto de Roupas,BANHO E LAVANDERIA,LIMPEZA,Paredao do fundo,1,100,chao,230,,8507.08,16
052.006.003,Lixeira Rattan com Pedal,BANHO E LAVANDERIA,LIXEIRAS,Paredao do fundo,2,605,chao,208,513,1019431.18,1313
052.006.002,Lixeira Rattan com Pedal,BANHO E LAVANDERIA,LIXEIRAS,Paredao do fundo,2,605,chao,210,513,904483.82,1110
172.012.999,Pá de Lixo com Cabo,BANHO E LAVANDERIA,LIMPEZA,Paredao do fundo,2,605,chao,180,,874221.25,1050
163.004.003,Lixeira Vime,BANHO E LAVANDERIA,LIXEIRAS,Paredao do fundo,2,605,chao,232,513,770151.73,890
134.012.003,Lixeira Basculante Rattan,BANHO E LAVANDERIA,LIXEIRAS,Paredao do fundo,2,605,chao,160,513,561419.34,911
052.006.086,Lixeira Rattan com Pedal,BANHO E LAVANDERIA,LIXEIRAS,Paredao do fundo,2,605,chao,208,513,550624.96,688
396.006.003,Lixeira Flat com Pedal,BANHO E LAVANDERIA,LIXEIRAS,Paredao do fundo,2,605,chao,172,513,422993.52,494
079.012.003,Prateleira Madri,BANHO E LAVANDERIA,BANHEIRO,Paredao do fundo,2,605,chao,92,513,422170.48,1167
283.004.003,Lixeira Juta com Pedal,BANHO E LAVANDERIA,LIXEIRAS,Paredao do fundo,2,605,chao,175,513,380323.43,559
095.012.003,Banheiro Premium,BANHO E LAVANDERIA,BANHEIRO,Paredao do fundo,2,605,chao,143,513,363781.98,842
095.012.002,Banheiro Premium,BANHO E LAVANDERIA,BANHEIRO,Paredao do fundo,2,605,chao,143,513,351926.18,850
283.004.002,Lixeira Juta com Pedal,BANHO E LAVANDERIA,LIXEIRAS,Paredao do fundo,2,605,chao,175,513,331767.33,427
100.006.003,Lixeira com Pedal,BANHO E LAVANDERIA,LIXEIRAS,Paredao do fundo,2,605,chao,230,513,319162.37,789
163.004.002,Lixeira Vime,BANHO E LAVANDERIA,LIXEIRAS,Paredao do fundo,2,605,chao,232,513,302408.01,610
396.006.002,Lixeira Flat com Pedal,BANHO E LAVANDERIA,LIXEIRAS,Paredao do fundo,2,605,chao,172,513,301157.16,349
