referencia;codprod;descrprod;nomegrupo;peso_bruto;peso_liquido;unidade_medida;qtd_por_embalagem
137.012.002;257;FRASQUEIRA MEDICAMENTOS - BRANCA 2,8L (137);Linha Frasqueiras;0.1885;0.186;PC;12
142.006.002;260;FRASQUEIRA MEDICAMENTOS - BRANCA 6,2L (142);Linha Frasqueiras;0.401;0.396;PC;6
013.050.004;228;SUPORTE PARA BOTIJAO - AREIA (013);Linha Organização;0.1416;0.141;PC;50
052.006.003;431;LIXEIRA RATTAN COM PEDAL - PRETA 6L (052/P);Linha Lixeiras;0.38;0.375;PC;6
052.006.002;427;LIXEIRA RATTAN COM PEDAL - BRANCA 6L (052/B);Linha Lixeiras;0.38;0.375;PC;6
172.012.999;268;PA DE LIXO COM CABO (172);Linha Limpeza;0.1265;0.124;PC;12
041.012.003;293;ORGANIZADOR MULTIUSO RATTAN COM 3 DIVISORIAS - PRETO (041/P);Linha Organização;0.1205;0.118;PC;12
163.004.003;451;LIXEIRA VIME - PRETA 12L (163/P);Linha Lixeiras;0.5315;0.524;PC;4
004.006.003;286;GAVETEIRO COM 4 GAVETAS - PRETA (004/4P);Linha Organização;0.595;0.59;PC;6
013.050.003;8245;SUPORTE PARA BOTIJAO - PRETO;Linha Organização;0.1416;0.141;PC;50
043.012.002;296;FRASQUEIRA MEDICAMENTOS - BRANCA 1,4L (043/M);Linha Frasqueiras;0.1255;0.123;PC;12
185.012.003;3174;PORTA VASSOURAS COM 4 ENCAIXES - PRETO (185/P);Linha Limpeza;0.1125;0.11;PC;12
293.006.002;3579;KIT POTES ACOPLADOS COM 5 PECAS - BRANCO (293);Linha Potes;0.585;0.58;PC;6
069.006.003;347;CAIXA ORGANIZADORA RATTAN COM TAMPA - PRETA 16L (069/P);Linha Organização;0.554;0.549;PC;6
408.012.002;8017;KIT CHURROS FACIL - BRANCO;Decor-Confeitaria;0.1825;0.18;PC;12
255.036.016;218;FORMA DE GELO FIRENZE COM TAMPA (255);Linha Cozinha;0.113833;0.113;PC;36
069.006.002;343;CAIXA ORGANIZADORA RATTAN COM TAMPA - BRANCA 16L (069/B);Linha Organização;0.554;0.549;PC;6
134.012.003;443;LIXEIRA BASCULANTE RATTAN - PRETO 4,5L (134/P);Linha Lixeiras;0.2385;0.236;PC;12
052.006.086;11828;LIXEIRA RATTAN COM PEDAL - CHUMBO 6L;Linha Lixeiras;0.38;0.375;PC;6
122.012.003;7160;PORTA ESCOVAS COM TAMPA - PRETO;Linha Banheiro;0.1125;0.11;PC;12
106.012.001;245;ORGANIZA TUDO COM 16 DIVISORIAS (106);Linha Organização;0.2855;0.283;PC;12
133.012.003;64;PORTA DETERGENTE RATTAN COM BASE - PRETO (133/P);Linha Cozinha;0.1175;0.115;PC;12
027.012.001;163;PORTA PAO ARMAZENA E CONSERVA - 2,7L (027);Linha Potes;0.1995;0.197;PC;12
254.006.002;1768;GAVETEIRO MODULAR RATTAN - BRANCO 8,2L (254/B);Linha Organização;0.566;0.561;PC;6
122.012.002;6594;PORTA ESCOVAS COM TAMPA - BRANCO;Linha Banheiro;0.1125;0.11;PC;12
179.024.001;212;PORTA FRIOS COM PINCA - 1,1L (179);Linha Cozinha;0.18225;0.181;PC;24
004.006.002;285;GAVETEIRO COM 4 GAVETAS - BRANCA (004/4B);Linha Organização;0.595;0.59;PC;6
186.006.002;272;FRASQUEIRA MEDICAMENTOS MEGA LUXO - BRANCA 12L (186);Linha Frasqueiras;0.883;0.878;PC;6
046.012.003;6325;PORTA OLEO ITALIA - PRETO;Linha Cozinha;0.0625;0.06;PC;12
353.006.001;6103;KIT POTES MODULARES COM 6 PECAS - TRANSPARENTE;Linha Potes;0.075;0.07;CJ;6
144.006.003;6304;PORTA TALHER COM 6 DIVISORIAS E TAMPA - PRETO;Linha Cozinha;0.295;0.29;PC;6
396.006.003;9708;LIXEIRA FLAT COM PEDAL - PRETA 7L;Linha Lixeiras;0.38;0.375;PC;6
079.012.003;3307;PORTA SHAMPOO E PRATELEIRA MADRI - PRETO (079/P);Linha Banheiro;0.1125;0.11;PC;12
185.012.002;368;PORTA VASSOURAS COM 4 ENCAIXES - BRANCO (185/B);Linha Limpeza;0.1125;0.11;PC;12
170.006.028;266;CAIXA DE FERRAMENTAS NITRONFORT - LARANJA 16L (170);Linha Organização;0.877;0.872;PC;6
187.006.001;273;ORGANIZA TUDO COM DIVISORIAS MOVEIS (187);Linha Organização;0.47;0.465;PC;6
019.024.001;230;ORGANIZA TUDO COM 10 DIVISORIAS (019);Linha Organização;0.11525;0.114;PC;24
144.006.002;6303;PORTA TALHER COM 6 DIVISORIAS E TAMPA - BRANCO;Linha Cozinha;0.295;0.29;PC;6
254.006.001;3814;GAVETEIRO MODULAR RATTAN - TRANSPARENTE 8,2L (254/NT);Linha Organização;0.566;0.561;PC;6
138.012.001;258;ORGANIZA TUDO COM 11 DIVISORIAS (138);Linha Organização;0.1975;0.195;PC;12
059.012.003;3304;ESCORREDOR DE PRATOS - PRETO (059/P);Linha Cozinha;0.2725;0.27;PC;12
283.004.003;4332;LIXEIRA JUTA COM PEDAL - PRETA 12L;Linha Lixeiras;0.7575;0.75;PC;4
214.006.003;3419;ORGANIZADOR MULTIUSO RATTAN COM 6 DIVISORIAS - PRETO (214/P);Linha Organização;0.235;0.23;PC;6
095.012.003;3314;CANTONEIRA PARA BANHEIRO PREMIUM- PRETO (095/P);Linha Banheiro;0.2225;0.22;PC;12
135.024.001;179;TAMPA PARA MICRO-ONDAS - TRANSPARENTE (135);Linha Micro-ondas;0.07525;0.074;PC;24
095.012.002;3355;CANTONEIRA PARA BANHEIRO PREMIUM - BRANCO (095/B);Linha Banheiro;0.2225;0.22;PC;12
041.012.002;290;ORGANIZADOR MULTIUSO RATTAN COM 3 DIVISÓRIAS - BRANCO (041/B);Linha Organização;0.1205;0.118;PC;12
233.012.001;4060;POTE RASO COM TRAVAS - TRANSPARENTE 1,1L;Linha Potes;0.1025;0.1;PC;12
283.004.002;4333;LIXEIRA JUTA COM PEDAL - BRANCA 12L;Linha Lixeiras;0.7575;0.75;PC;4
068.012.002;331;CAIXA ORGANIZADORA RATTAN COM TAMPA - BRANCA 8L (068/B);Linha Organização;0.4005;0.398;PC;12
149.024.001;182;CACAROLA MICRO-ONDAS - TRANSPARENTE 2,6L (149);Linha Micro-ondas;0.16025;0.159;PC;24
920.004.003;12023;CONJ. PORTA DETERGENTE FLAT COM 2 PECAS - PRETO 500ML;Linha Cozinha;0.1175;0.11;CJ;4
227.036.999;473;COPO INFANTIL COM ALCA - SORTIDO 320ML (227);Linha Infantil;0.045833;0.045;PC;36
153.012.546;4146;JARRA COM TAMPA FLIP TOP - VERMELHO 2L;Linha Jarras;0.1525;0.15;PC;12
100.006.003;6747;LIXEIRA COM PEDAL - PRETA 7L;Linha Lixeiras;0.395;0.39;PC;6
060.012.003;6575;PORTA TALHERES PARIS COM 4 DIVISORIAS E TAMPA - PRETO;Linha Cozinha;0.1805;0.178;PC;12
122.012.066;6596;PORTA ESCOVAS COM TAMPA - FUME;Linha Banheiro;0.1125;0.11;PC;12
062.012.003;311;CAIXA ORGANIZADORA RATTAN COM TAMPA - PRETA 4L (062/P);Linha Organização;0.2405;0.238;PC;12
068.012.003;335;CAIXA ORGANIZADORA RATTAN COM TAMPA - PRETA 8L (068/P);Linha Organização;0.4005;0.398;PC;12
139.012.001;4119;POTE COM 3 DIVISORIAS - TRANSPARENTE 1,1L;Linha Potes;0.1325;0.13;PC;12
062.012.002;307;CAIXA ORGANIZADORA RATTAN COM TAMPA - BRANCA 4L (062/B);Linha Organização;0.2405;0.238;PC;12
2580.012.001;4078;POTE ALTO RETANGULAR - TRANSPARENTE 3L;Linha Potes;0.1525;0.15;PC;12
032.012.547;4262;JARRA COM TAMPA - VERMELHO 2L;Linha Jarras;0.1425;0.14;PC;12
163.004.002;447;LIXEIRA VIME - BRANCA 12L (163/B);Linha Lixeiras;0.5315;0.524;PC;4
396.006.002;9707;LIXEIRA FLAT COM PEDAL - BRANCA 7L;Linha Lixeiras;0.38;0.375;PC;6
152.006.003;81;KIT MANTIMENTOS COM 5 PECAS - PRETO (152);Linha Potes;0.592;0.587;CJ;6
215.012.003;6681;POTE ULTRAFORTE COM TRAVAS - PRETO 2,1L;Linha Potes;0.1825;0.18;PC;12
224.012.003;3342;SECA TALHER ESCORRE - PRETO (224/P);Linha Cozinha;0.1525;0.15;PC;12
244.012.001;110;POTE RASO COM VALVULA - 3,2L (244);Linha Potes;0.2235;0.221;PC;12
123.012.028;7070;CAIXA DE FERRAMENTAS NITRONFORT - LARANJA 2,2L;Linha Frasqueiras;0.2525;0.25;PC;12
237.006.003;6639;POTE ACOPLADO COM COPO MEDIDOR - PRETO 5,8L;Linha Potes;0.255;0.25;PC;6
156.012.001;4155;POTE ALTO COM TRAVAS - TRANSPARENTE 2,2L;Linha Potes;0.1425;0.14;PC;12
4030.012.003;3611;FARINHEIRA C/ TAMPA 836 ML (040/F);Linha Cozinha;0.0725;0.07;PC;12
134.012.002;438;LIXEIRA BASCULANTE RATTAN - BRANCA 4,5L (134/B);Linha Lixeiras;0.2385;0.236;PC;12
150.004.003;3285;LIXEIRA COM PEDAL - PRETA 16L (150/P);Linha Lixeiras;0.6975;0.69;PC;4
3770.012.001;4093;POTE QUADRADO COM TRAVAS - TRANSPARENTE 1,8L;Linha Potes;0.1325;0.13;PC;12
397.004.003;9712;LIXEIRA FLAT COM PEDAL - PRETA 14L;Linha Lixeiras;0.3825;0.375;PC;4
166.024.001;171;PORTA BISCOITOS E TORRADAS - 650ML (166);Linha Potes;0.10425;0.103;PC;24
146.024.001;181;FORMA DE OVOS E OMELETEIRA MICRO-ONDAS (146);Linha Micro-ondas;0.07025;0.069;PC;24
103.024.003;6585;MARMIBOX COM DIVISORIA PARA TALHERES - PRETO 780ML;Linha Potes;0.12125;0.12;PC;24
030.012.001;4084;POTE MONTEREY COM 3 DIVISORIAS - TRANSPARENTE 1,1L (0307.012.001);Linha Potes;0.1325;0.13;PC;12
060.012.002;6574;PORTA TALHERES PARIS COM 4 DIVISORIAS E TAMPA - BRANCO;Linha Cozinha;0.1805;0.178;PC;12
105.024.003;6711;MARMITA BOM APETITE COM BANDEIJA E VALVULA - PRETO 800ML;Linha Potes;0.11125;0.11;PC;24
362.012.003;151;POTE ACUCAR ACOPLADO COM ROSCA - 2L;Linha Potes;0.1165;0.114;PC;12
055.012.003;6256;ESCORREDOR MULTI USO - PRETO;Linha Cozinha;0.1125;0.11;PC;12
254.006.003;1766;GAVETEIRO MODULAR RATTAN - PRETO 8,2L (254/P);Linha Organização;0.566;0.561;PC;6
363.012.003;153;POTE CAFE ACOPLADO COM ROSCA - 2L;Linha Potes;0.1165;0.114;PC;12
034.012.001;4087;POTE MONACO COM 3 DIVISORIAS - TRANSPARENTE 1L;Linha Potes;0.1325;0.13;PC;12
435.012.002;8033;HAMBURGUEIRA - BRANCA;Decor-Chef;0.1825;0.18;PC;12
237.006.002;6638;POTE ACOPLADO COM COPO MEDIDOR - BRANCO 5,8L;Linha Potes;0.255;0.25;PC;6
008.012.003;6544;PORTA SABAO EM PO COM DOSADOR - PRETO 2 KG;Linha Limpeza;0.2325;0.23;PC;12
234.012.001;4057;POTE RASO COM TRAVAS - TRANSPARENTE 2,3L;Linha Potes;0.1625;0.16;PC;12
258.006.003;1874;CESTO ALONGADO JUTA - PRETO 7,4L (258/P);Linha Organização;0.315;0.31;PC;6
003.006.003;283;GAVETEIRO COM 3 GAVETAS - PRETA (004/3P);Linha Organização;0.463;0.458;PC;6
195.006.012;7098;FRASQUEIRA CRISTAL COM DIVISORIAS - ROSA 1,5L;Linha Frasqueiras;0.205;0.2;PC;6
243.024.001;109;POTE RASO COM VALVULA - 1,9L (243);Linha Potes;0.15125;0.15;PC;24
051.012.003;3301;PORTA DETERGENTE 3 EM 1 - PRETO (051/P);Linha Cozinha;0.0725;0.07;PC;12
217.012.003;6674;POTE ULTRAFORTE COM TRAVAS - PRETO 6,9L;Linha Potes;0.3225;0.32;PC;12
155.012.001;4150;POTE ALTO COM TRAVAS - TRANSPARENTE 850ML;Linha Potes;0.0825;0.08;PC;12
257.012.003;1880;CESTO ALONGADO JUTA - PRETO 3,7L (257/P);Linha Organização;0.1815;0.179;PC;12
100.006.002;3316;LIXEIRA COM PEDAL - BRANCA 7L (100/B);Linha Lixeiras;0.395;0.39;PC;6
284.012.003;3392;CESTO TRANSPORTA TUDO - PRETO (284/P);Linha Limpeza;0.3025;0.3;PC;12
151.012.001;4122;POTE ALTO COM TRAVAS - TRANSPARENTE 4,3L;Linha Potes;0.2125;0.21;PC;12
242.024.001;108;POTE RASO COM VALVULA - 950ML (242);Linha Potes;0.09825;0.097;PC;24
216.012.003;6683;POTE ULTRAFORTE COM TRAVAS - PRETO 4L;Linha Potes;0.2525;0.25;PC;12
256.024.003;1885;CESTO ALONGADO JUTA - PRETO 1,5L (256/P);Linha Organização;0.10125;0.1;PC;24
117.012.002;22;TABUA EXTRA GRANDE - BRANCA (117);Linha Cozinha;0.4325;0.43;PC;12
079.012.002;3306;PORTA SHAMPOO E PRATELEIRA MADRI - BRANCO (079/B);Linha Banheiro;0.1125;0.11;PC;12
2540.012.001;121;KIT POTES ALTOS RETANG. COM 3 PECAS - TRANSPARENTE (025/4);Linha Potes;0.4235;0.421;CJ;12
313.006.560;4432;ORGANIZADOR DE COSMETICOS COM 2 GAVETAS - PRETA;Linha Organização;0.454;0.449;PC;6
044.012.005;201;PORTA FILTRO PARA CAFÉ (044);Linha Cozinha;0.0905;0.088;PC;12
065.012.003;323;CAIXA ORGANIZADORA RATTAN COM TAMPA - PRETA 2L (065/P);Linha Organização;0.1525;0.15;PC;12
221.012.003;6291;SALEIRO PREMIER COM ALCA - TRANSPARENTE E PRETO 1 KG;Linha Cozinha;0.0925;0.09;PC;12
387.006.M00;8626;TABUA DE CORTE TECA - G;Teca Tábuas;1.632708;1.632708;PC;6
293.006.003;11942;KIT POTES ACOPLADOS COM 5 PECAS - PRETO;Linha Potes;0.585;0.58;PC;6
097.012.001;243;NITRONBOX 10L (097);Linha Organização;0.6075;0.605;PC;12
008.012.002;6543;PORTA SABAO EM PO COM DOSADOR - BRANCO 2 KG;Linha Limpeza;0.2325;0.23;PC;12
096.012.003;55;ESCORREDOR DE PRATOS RATTAN - PRETO (096/P);Linha Cozinha;0.2695;0.267;PC;12
153.012.002;9615;JARRA COM TAMPA FLIP TOP - BRANCO 2L;Linha Jarras;0.1525;0.15;PC;12
214.006.002;3417;ORGANIZADOR MULTIUSO RATTAN COM 6 DIVISORIAS - BRANCO (214/B);Linha Organização;0.235;0.23;PC;6
240.024.001;106;POTE QUADRADO COM VALVULA - 3L (240);Linha Potes;0.18225;0.181;PC;24
130.012.003;6661;LIXEIRA RETRATIL - PRETA 4L;Linha Lixeiras;0.1725;0.17;PC;12
2590.012.001;4081;POTE ALTO RETANGULAR - TRANSPARENTE 1,5L;Linha Potes;0.1025;0.1;PC;12
111.012.549;4271;ESPREMEDOR PORTATIL FIT - VERMELHO 510ML;Linha Jarras;0.0925;0.09;PC;12
053.004.003;434;PRATELEIRA MULTI USO COM 4 ANDARES - PRETA (053/P);Linha Organização;1.4185;1.411;PC;4
232.012.001;4063;POTE RASO COM TRAVAS - TRANSPARENTE 500ML;Linha Potes;0.0725;0.07;PC;12
004.006.012;6542;GAVETEIRO COM 4 GAVETAS - ROSA;Linha Organização;0.465;0.46;CJ;6
023.030.002;4;RALADOR COM 4 FACES (023);Linha Cozinha;0.094;0.093;PC;30
238.012.001;11906;POTE ACOPLADO COM ROSCA - TRANSPARENTE 2L;Linha Potes;0.1125;0.11;PC;12
200.004.001;276;NITRONBOX 50L (200);Linha Organização;1.6225;1.615;PC;4
3760.012.001;125;POTE QUADRADO COM TRAVAS - TRANSPARENTE 3,7L (037/6);Linha Potes;0.2015;0.199;PC;12
258.006.002;1873;CESTO ALONGADO JUTA - BRANCO 7,4L (258/B);Linha Organização;0.315;0.31;PC;6
196.006.001;4072;POTE PREMIUM - TRANSPARENTE 7,9L;Linha Potes;0.355;0.35;PC;6
133.012.002;60;PORTA DETERGENTE RATTAN COM BASE - BRANCO (133/B);Linha Cozinha;0.1175;0.115;PC;12
148.004.003;6662;LIXEIRA BASCULANTE - PRETA 14L;Linha Lixeiras;0.4675;0.46;PC;4
163.004.086;11871;LIXEIRA VIME - CHUMBO 12L;Linha Lixeiras;0.5315;0.524;PC;4
046.012.002;6324;PORTA OLEO ITALIA - BRANCO;Linha Cozinha;0.0625;0.06;PC;12
268.012.003;1909;CESTO EUROPA JUTA - PRETO 5,3L (268/P);Linha Organização;0.2625;0.26;PC;12
257.012.002;1879;CESTO ALONGADO JUTA - BRANCO3,7L (257/B);Linha Organização;0.1815;0.179;PC;12
503.006.001;8864;CAIXA ORGANIZADORA FLAT COM TAMPA - TRANSPARENTE 10,35L;Linha Organização;0.401;0.396;PC;6
2570.012.001;122;POTE ALTO RETANGULAR - TRANSPARENTE 4,6L (025/7);Linha Potes;0.2085;0.206;PC;12
818.012.001;12016;POTE ALTO COM VALVULA - TRANSPARENTE 2,9L;Linha Potes;;;PC;12
116.012.003;3319;PORTA DETERGENTE COM TELINHA - PRETO (116/P);Linha Cozinha;0.0625;0.06;PC;12
182.012.546;4287;JARRA COM TAMPA FLIP TOP - VERMELHO 4L;Linha Jarras;0.2525;0.25;PC;12
261.006.003;1854;CAIXA ORGANIZADORA BAIXA RATTAN COM TAMPA - PRETA 7L (261/P);Linha Organização;0.375;0.37;PC;6
819.012.001;12018;POTE ALTO COM VALVULA - TRANSPARENTE 4,6L;Linha Potes;;;PC;12
142.006.009;11865;FRASQUEIRA MEDICAMENTOS - VERMELHA 6,2L;Linha Frasqueiras;0.401;0.396;PC;6
3780.012.001;4096;POTE QUADRADO COM TRAVAS - TRANSPARENTE 860ML;Linha Potes;0.0725;0.07;PC;12
126.006.619;6395;FRASQUEIRA COM BANDEJA - ROSA 6,2L;Linha Frasqueiras;0.405;0.4;PC;6
065.012.002;319;CAIXA ORGANIZADORA RATTAN COM TAMPA - BRANCA 2L (065/B);Linha Organização;0.1525;0.15;PC;12
283.004.086;11941;LIXEIRA JUTA COM PEDAL - CHUMBO 12L;Linha Lixeiras;0.7575;0.75;PC;4
178.024.001;183;CACAROLA MICRO-ONDAS - TRANSPARENTE 1,5L (178);Linha Micro-ondas;0.09225;0.091;PC;24
445.012.001;8100;ORGANIZADOR DE COSMETICOS E BIJOUTERIAS;Linha Organização;0.1825;0.18;PC;12
