modulo,tipo,painel_mm,x_inicio_mm,x_fim_mm,largura_ext_mm,categoria,prateleiras,skus,frente_ocupada_mm,frente_util_mm,ocupacao,faturamento_12m
1,300×450-1-alto,450,68,526,457,DECOR,7,7,547,3150,0.174,807506.79
2,300×450-1-alto,450,526,982,457,POP,7,9,883,3150,0.28,39074.03
3,300×754-1-alto,754,982,1742,759,GELADEIRA,7,9,1612,5278,0.305,369799.45
4,300×754-1-alto,754,1742,2500,759,MICRO-ONDAS,7,12,2489,5278,0.472,1741102.77
5,300×754-1-alto,754,2500,3260,759,JARRAS,7,23,2677,5278,0.507,2778440.01
6,300×754-1-alto,754,3260,4018,759,COZINHA,7,14,2891,5278,0.548,2125436.33
7,300×754-1-alto,754,4018,4778,759,COZINHA,7,19,2692,5278,0.51,2643119.75
8,300×754-1-alto,754,4778,5536,759,COZINHA,7,20,2688,5278,0.509,2341327.68
9,300×754-1-alto,754,5536,6296,759,COZINHA,7,17,2418,5278,0.458,1548991.66
10,300×754-1-alto,754,6296,7054,759,COZINHA,7,16,2136,5278,0.405,1302120.15
11,300×754-1-alto,754,7054,7814,759,POTES,7,23,3634,5278,0.689,2361553.97
12,300×754-1-alto,754,7814,8572,759,POTES,7,24,3592,5278,0.681,1594268.05
13,300×754-1-alto,754,8572,9332,759,POTES,7,26,3579,5278,0.678,1724288.32
14,300×754-1-alto,754,9332,10090,759,POTES,7,25,3092,5278,0.586,1706565.98
15,300×754-1-alto,754,10090,10850,759,POTES,7,19,2902,5278,0.55,1552970.7
16,300×754-1-alto,754,10850,11608,759,POTES,7,21,2934,5278,0.556,1287563.52
17,300×754-1-alto,754,11608,12368,759,POTES,7,20,2871,5278,0.544,1894818.89
18,300×450-1-alto,450,12368,12824,457,TECA,7,10,1577,3150,0.501,436933.27
19,300×450-1-alto,450,12824,13282,457,TECA,7,7,1280,3150,0.406,367656.1
