modulo,prateleira,altura_face_mm,zona,ordem_na_prateleira,referencia,nome,categoria,frente_mm,profundidade_min_mm,faturamento_12m,clientes
1,6,1409,olhos,1,400.024.002,Abridor de Tampas Apertadas,DECOR,50,285,8518.06,57
1,6,1409,olhos,2,422.024.002,Kit Decorador de Bolo com 7 Peças,DECOR,50,285,28531.44,77
1,7,1671,olhos,1,403.024.002,Kit Biscoito Fácil,DECOR,60,285,39581.35,113
1,7,1671,olhos,2,408.012.002,Kit Churros Fácil,DECOR,165,285,606220.53,839
1,7,1671,olhos,3,419.024.002,Cortador de Batatas,DECOR,110,285,46023.6,99
1,7,1671,olhos,4,421.024.002,Cortador e Ralador de Legumes,DECOR,80,285,62466.41,341
1,7,1671,olhos,5,423.024.002,Cj. Bico Russo Confeiteiro com 5 Peças,DECOR,32,285,16165.4,66
2,5,1148,maos,1,3790.006.P01,Kit POP - 6 Potes Quadrados,POP,113,285,2225.98,16
2,6,1409,olhos,1,205.006.P01,Kit POP - 6 Potes Fits,POP,78,285,3756.9,17
2,6,1409,olhos,2,241.006.P01,Kit POP - 6 Potes com Válvula,POP,117,285,2919.48,13
2,6,1409,olhos,3,554.006.P01,Kit POP - 6 Potes Tampas Fixa,POP,80,285,2853.84,15
2,6,1409,olhos,4,555.006.P01,Kit POP - 6 Potes Tampas Fixa,POP,105,285,3417.42,17
2,7,1671,olhos,1,231.006.P01,Kit POP - 6 Potes com Travas,POP,100,285,4649.29,20
2,7,1671,olhos,2,317.006.P01,Kit POP com 5 Marmitas Fits,POP,100,285,4937.94,14
2,7,1671,olhos,3,319.006.P01,Kit POP - 6 Potes Quadrados,POP,78,285,5268.0,20
2,7,1671,olhos,4,6120.006.P01,Kit POP - 6 Potes Retangulares,POP,112,285,9045.18,23
3,5,1148,maos,1,269.004.M02,Caixa Juta Europa com Tampa Teca,TECA,240,372,38883.55,63
3,5,1148,maos,2,269.004.M03,Caixa Juta Europa com Tampa Teca,TECA,240,372,36331.98,63
3,6,1409,olhos,1,702.006.001,Organizador de Geladeira Rattan,GELADEIRA,195,285,36026.24,332
3,6,1409,olhos,2,712.012.001,Organizador de Geladeira Flat,GELADEIRA,115,285,14333.64,132
3,6,1409,olhos,3,713.012.001,Organizador de Geladeira Flat,GELADEIRA,175,285,16532.98,132
3,7,1671,olhos,1,701.006.001,Organizador de Geladeira Rattan,GELADEIRA,220,372,54377.4,361
3,7,1671,olhos,2,703.006.001,Organizador de Geladeira Rattan,GELADEIRA,195,285,64018.19,389
3,7,1671,olhos,3,705.006.001,Organziador de Geladeira Juta,GELADEIRA,132,285,65296.42,382
3,7,1671,olhos,4,706.006.001,Organziador de Geladeira Juta,GELADEIRA,100,285,43999.05,333
4,4,886,maos,1,136.024.001,Travessa Micro-ondas c/Tampa,MICRO-ONDAS,208,372,23946.37,107
4,4,886,maos,2,250.024.009,"Cacarola Micro-Ondas Com Cesto - Transparente 1,5L (250)",MICRO-ONDAS,175,285,24025.58,91
4,4,886,maos,3,251.012.001,Caçarola Mini Micro-ondas,MICRO-ONDAS,140,285,46875.42,345
4,5,1148,maos,1,020.024.001,Micro-ondas com Tampa,MICRO-ONDAS,235,285,72721.12,1342
4,5,1148,maos,2,045.012.001,Micro-ondas com Tampa,MICRO-ONDAS,237,285,73024.85,281
4,5,1148,maos,3,229.012.001,Cook Freezer com Cesto,MICRO-ONDAS,237,285,98439.49,254
4,6,1409,olhos,1,178.024.001,Caçarola Micro-ondas,MICRO-ONDAS,175,285,156472.99,440
4,6,1409,olhos,2,194.012.009,Micro-ondas com Cesto,MICRO-ONDAS,220,285,124068.22,355
4,6,1409,olhos,3,240.024.001,Cook Freezer Micro-ondas,MICRO-ONDAS,237,285,190420.59,280
4,7,1671,olhos,1,135.024.001,Tampa para Micro-ondas,MICRO-ONDAS,255,285,355308.6,1044
4,7,1671,olhos,2,146.024.001,Forma de Ovos e Omeleteira Micro-ondas,MICRO-ONDAS,150,285,253547.82,644
4,7,1671,olhos,3,149.024.001,Micro-ondas,MICRO-ONDAS,220,285,322251.72,670
5,4,886,maos,1,112.012.547,Jarra Medidora Top Mix,JARRAS,85,285,24092.6,197
5,4,886,maos,2,112.012.002,Jarra Medidora Top Mix,JARRAS,85,285,19837.11,180
5,4,886,maos,3,207.024.001,Jarra Medidora Top Mix,JARRAS,99,285,63572.11,361
5,4,886,maos,4,207.012.547,Jarra Medidora Top Mix,JARRAS,99,285,11127.59,114
5,4,886,maos,5,207.012.002,Jarra Medidora Top Mix,JARRAS,99,285,5847.32,70
5,5,1148,maos,1,064.012.547,Jarra com Tubo para Gelo,JARRAS,145,285,78084.59,190
5,5,1148,maos,2,064.012.002,Jarra com Tubo para Gelo,JARRAS,145,285,37953.53,191
5,5,1148,maos,3,088.012.547,Jarra com Tampa,JARRAS,130,285,45238.89,303
5,5,1148,maos,4,088.012.002,Jarra com Tampa,JARRAS,130,285,19934.76,193
5,5,1148,maos,5,222.012.546,Jarra com Tampa Flip Top,JARRAS,100,285,97949.86,505
