parede,modulo,tipo,painel_mm,x_inicio_mm,x_fim_mm,categoria,prateleiras,skus,frente_ocupada_mm,frente_util_mm,ocupacao,faturamento_12m
sul,1,300×450-1-alto,450,68,526,DECOR,7,7,547,3150,0.174,807506.79
sul,2,300×450-1-alto,450,526,982,POP,7,9,883,3150,0.28,39074.03
sul,3,300×754-1-alto,754,982,1742,GELADEIRA,7,9,1612,5278,0.305,369799.45
sul,4,300×754-1-alto,754,1742,2500,MICRO-ONDAS,7,12,2489,5278,0.472,1741102.77
sul,5,300×754-1-alto,754,2500,3260,JARRAS,7,23,2677,5278,0.507,2778440.01
sul,6,300×754-1-alto,754,3260,4018,COZINHA,7,18,2908,5278,0.551,2574355.58
sul,7,300×754-1-alto,754,4018,4778,COZINHA,7,20,2886,5278,0.547,2777918.22
sul,8,300×754-1-alto,754,4778,5536,COZINHA,7,16,2679,5278,0.508,1956010.38
sul,9,300×754-1-alto,754,5536,6296,COZINHA,7,16,2165,5278,0.41,1399692.56
sul,10,300×754-1-alto,754,6296,7054,COZINHA,7,16,2187,5278,0.414,1253018.83
sul,11,300×754-1-alto,754,7054,7814,POTES,7,23,3563,5278,0.675,2573090.73
sul,12,300×754-1-alto,754,7814,8572,POTES,7,25,3593,5278,0.681,1833797.09
sul,13,300×754-1-alto,754,8572,9332,POTES,7,26,3552,5278,0.673,1535855.06
sul,14,300×754-1-alto,754,9332,10090,POTES,7,25,3163,5278,0.599,1441231.82
sul,15,300×754-1-alto,754,10090,10850,POTES,7,19,2950,5278,0.559,1897116.54
sul,16,300×754-1-alto,754,10850,11608,POTES,7,22,2891,5278,0.548,1459722.05
sul,17,300×754-1-alto,754,11608,12368,POTES,7,18,2892,5278,0.548,1381216.14
sul,18,300×450-1-alto,450,12368,12824,TECA,7,10,1577,3150,0.501,436933.27
sul,19,300×450-1-alto,450,12824,13282,TECA,7,7,1280,3150,0.406,367656.1
fundo,1,460×754-1-alto-fundo,754,21,780,LIMPEZA,5,11,1311,3770,0.348,1825466.5
fundo,2,460×754-1-alto-fundo,754,780,1539,LIMPEZA,5,4,1034,3770,0.274,458160.68
fundo,3,460×754-1-alto-fundo,754,1539,2298,LIXEIRAS,5,8,1618,3770,0.429,3154335.39
fundo,4,460×754-1-alto-fundo,754,2298,3057,LIXEIRAS,5,7,1680,3770,0.446,1716158.32
fundo,5,460×754-1-alto-fundo,754,3057,3816,LIXEIRAS,5,11,1932,3770,0.512,1446706.46
fundo,6,460×754-1-alto-fundo,754,3816,4575,LIXEIRAS,5,5,1005,3770,0.267,1142763.67
fundo,7,460×754-1-alto-fundo,754,4575,5334,LIXEIRAS,5,6,1005,3770,0.267,1001010.76
fundo,8,460×754-1-alto-fundo,754,5334,6093,LIXEIRAS,5,5,1015,3770,0.269,633721.28
fundo,9,460×754-1-alto-fundo,754,6093,6852,BANHEIRO,5,23,2210,3770,0.586,3629439.59
norte,1,300×754-1-alto,754,14,773,ORGANIZACAO,7,17,2819,5278,0.534,4327517.49
norte,2,300×754-1-alto,754,773,1532,ORGANIZACAO,7,16,2357,5278,0.447,3217916.29
norte,3,300×754-1-alto,754,1532,2291,ORGANIZACAO,7,16,2615,5278,0.495,1932893.89
norte,4,300×754-1-alto,754,2291,3050,ORGANIZACAO,7,12,2324,5278,0.44,1541206.02
norte,5,300×754-1-alto,754,3050,3809,ORGANIZACAO,7,13,2070,5278,0.392,1408086.93
norte,6,300×754-1-alto,754,3809,4568,ORGANIZACAO,7,10,1883,5278,0.357,1275309.52
norte,7,300×754-1-alto,754,4568,5327,ORGANIZACAO,7,14,1946,5278,0.369,973713.11
norte,8,300×754-1-alto,754,5327,6086,ORGANIZACAO,7,11,2065,5278,0.391,1201177.04
entrada,1,300×754-1-alto-fundo,754,4271,5030,FRASQUEIRAS,5,12,2194,3770,0.582,4429515.25
entrada,2,300×754-1-alto-fundo,754,5030,5789,FRASQUEIRAS,5,11,1762,3770,0.467,1511370.0
entrada,3,300×754-1-alto-fundo,754,5789,6548,INFANTIL+REALCE,5,11,1045,3770,0.277,475127.98
