parede,modulo,prateleira,altura_face_mm,zona,vao_livre_mm,ordem,referencia,nome,categoria,frente_mm,profundidade_min_mm,altura_mm,faturamento_12m,clientes
sul,1,6,1409,olhos,247,1,408.012.002,Kit Churros Fácil,DECOR,165,285,235,606220.53,839
sul,1,7,1671,olhos,222,1,400.024.002,Abridor de Tampas Apertadas,DECOR,50,285,30,8518.06,57
sul,1,7,1671,olhos,222,2,403.024.002,Kit Biscoito Fácil,DECOR,60,285,165,39581.35,113
sul,1,7,1671,olhos,222,3,419.024.002,Cortador de Batatas,DECOR,110,285,35,46023.6,99
sul,1,7,1671,olhos,222,4,421.024.002,Cortador e Ralador de Legumes,DECOR,80,285,23,62466.41,341
sul,1,7,1671,olhos,222,5,422.024.002,Kit Decorador de Bolo com 7 Peças,DECOR,50,285,200,28531.44,77
sul,1,7,1671,olhos,222,6,423.024.002,Cj. Bico Russo Confeiteiro com 5 Peças,DECOR,32,285,30,16165.4,66
sul,2,5,1148,maos,247,1,3790.006.P01,Kit POP - 6 Potes Quadrados,POP,113,285,58,2225.98,16
sul,2,6,1409,olhos,247,1,205.006.P01,Kit POP - 6 Potes Fits,POP,78,285,207,3756.9,17
sul,2,6,1409,olhos,247,2,241.006.P01,Kit POP - 6 Potes com Válvula,POP,117,285,40,2919.48,13
sul,2,6,1409,olhos,247,3,554.006.P01,Kit POP - 6 Potes Tampas Fixa,POP,80,285,60,2853.84,15
sul,2,6,1409,olhos,247,4,555.006.P01,Kit POP - 6 Potes Tampas Fixa,POP,105,285,65,3417.42,17
sul,2,7,1671,olhos,222,1,231.006.P01,Kit POP - 6 Potes com Travas,POP,100,285,40,4649.29,20
sul,2,7,1671,olhos,222,2,317.006.P01,Kit POP com 5 Marmitas Fits,POP,100,285,62,4937.94,14
sul,2,7,1671,olhos,222,3,319.006.P01,Kit POP - 6 Potes Quadrados,POP,78,285,69,5268.0,20
sul,2,7,1671,olhos,222,4,6120.006.P01,Kit POP - 6 Potes Retangulares,POP,112,285,78,9045.18,23
sul,3,5,1148,maos,247,1,269.004.M02,Caixa Juta Europa com Tampa Teca,TECA,240,372,192,38883.55,63
sul,3,5,1148,maos,247,2,269.004.M03,Caixa Juta Europa com Tampa Teca,TECA,240,372,192,36331.98,63
sul,3,6,1409,olhos,247,1,702.006.001,Organizador de Geladeira Rattan,GELADEIRA,195,285,82,36026.24,332
sul,3,6,1409,olhos,247,2,712.012.001,Organizador de Geladeira Flat,GELADEIRA,115,285,108,14333.64,132
sul,3,6,1409,olhos,247,3,713.012.001,Organizador de Geladeira Flat,GELADEIRA,175,285,107,16532.98,132
sul,3,7,1671,olhos,222,1,701.006.001,Organizador de Geladeira Rattan,GELADEIRA,220,372,82,54377.4,361
sul,3,7,1671,olhos,222,2,703.006.001,Organizador de Geladeira Rattan,GELADEIRA,195,285,104,64018.19,389
sul,3,7,1671,olhos,222,3,705.006.001,Organziador de Geladeira Juta,GELADEIRA,132,285,118,65296.42,382
sul,3,7,1671,olhos,222,4,706.006.001,Organziador de Geladeira Juta,GELADEIRA,100,285,87,43999.05,333
sul,4,4,886,maos,247,1,136.024.001,Travessa Micro-ondas c/Tampa,MICRO-ONDAS,208,372,92,23946.37,107
sul,4,4,886,maos,247,2,250.024.009,"Cacarola Micro-Ondas Com Cesto - Transparente 1,5L (250)",MICRO-ONDAS,175,285,100,24025.58,91
sul,4,4,886,maos,247,3,251.012.001,Caçarola Mini Micro-ondas,MICRO-ONDAS,140,285,90,46875.42,345
sul,4,5,1148,maos,247,1,020.024.001,Micro-ondas com Tampa,MICRO-ONDAS,235,285,70,72721.12,1342
sul,4,5,1148,maos,247,2,045.012.001,Micro-ondas com Tampa,MICRO-ONDAS,237,285,100,73024.85,281
sul,4,5,1148,maos,247,3,229.012.001,Cook Freezer com Cesto,MICRO-ONDAS,237,285,102,98439.49,254
sul,4,6,1409,olhos,247,1,178.024.001,Caçarola Micro-ondas,MICRO-ONDAS,175,285,100,156472.99,440
sul,4,6,1409,olhos,247,2,194.012.009,Micro-ondas com Cesto,MICRO-ONDAS,220,285,152,124068.22,355
sul,4,6,1409,olhos,247,3,240.024.001,Cook Freezer Micro-ondas,MICRO-ONDAS,237,285,102,190420.59,280
sul,4,7,1671,olhos,222,1,135.024.001,Tampa para Micro-ondas,MICRO-ONDAS,255,285,68,355308.6,1044
sul,4,7,1671,olhos,222,2,146.024.001,Forma de Ovos e Omeleteira Micro-ondas,MICRO-ONDAS,150,285,60,253547.82,644
sul,4,7,1671,olhos,222,3,149.024.001,Micro-ondas,MICRO-ONDAS,220,285,152,322251.72,670
sul,5,4,886,maos,247,1,112.012.547,Jarra Medidora Top Mix,JARRAS,85,285,160,24092.6,197
sul,5,4,886,maos,247,2,112.012.002,Jarra Medidora Top Mix,JARRAS,85,285,160,19837.11,180
sul,5,4,886,maos,247,3,207.024.001,Jarra Medidora Top Mix,JARRAS,99,285,177,63572.11,361
sul,5,4,886,maos,247,4,207.012.547,Jarra Medidora Top Mix,JARRAS,99,285,177,11127.59,114
sul,5,4,886,maos,247,5,207.012.002,Jarra Medidora Top Mix,JARRAS,99,285,177,5847.32,70
sul,5,5,1148,maos,247,1,064.012.547,Jarra com Tubo para Gelo,JARRAS,145,285,199,78084.59,190
sul,5,5,1148,maos,247,2,064.012.002,Jarra com Tubo para Gelo,JARRAS,145,285,199,37953.53,191
sul,5,5,1148,maos,247,3,088.012.547,Jarra com Tampa,JARRAS,130,285,174,45238.89,303
sul,5,5,1148,maos,247,4,088.012.002,Jarra com Tampa,JARRAS,130,285,174,19934.76,193
sul,5,5,1148,maos,247,5,222.012.546,Jarra com Tampa Flip Top,JARRAS,100,285,155,97949.86,505
sul,5,5,1148,maos,247,6,222.012.002,Jarra com Tampa Flip Top,JARRAS,100,285,155,43555.84,342
sul,5,6,1409,olhos,247,1,033.012.547,Jarra com Espremedor,JARRAS,145,285,218,133967.58,464
sul,5,6,1409,olhos,247,2,033.012.002,Jarra com Espremedor,JARRAS,145,285,218,51657.43,298
sul,5,6,1409,olhos,247,3,111.012.549,Espremedor Portátil Fit,JARRAS,95,285,167,186127.74,615
sul,5,6,1409,olhos,247,4,111.012.002,Espremedor Portátil Fit,JARRAS,95,285,167,59739.31,337
sul,5,6,1409,olhos,247,5,114.012.547,Espremedor Portátil Fit,JARRAS,132,285,110,143892.79,641
sul,5,6,1409,olhos,247,6,114.012.002,Jarrinhs com Espremedor,JARRAS,132,285,110,50664.54,524
sul,5,7,1671,olhos,222,1,032.012.547,Jarra com Tampa,JARRAS,145,285,199,304681.58,849
sul,5,7,1671,olhos,222,2,032.012.002,Jarra com Tampa,JARRAS,145,285,199,140806.36,681
sul,5,7,1671,olhos,222,3,078.036.001,Forma De Gelo Firenze (078),JARRAS,107,285,38,153793.64,552
sul,5,7,1671,olhos,222,4,153.012.546,Jarra com Tampa Flip Top,JARRAS,100,285,215,319913.49,868
sul,5,7,1671,olhos,222,5,153.012.002,Jarra com Tampa Flip Top,JARRAS,100,285,215,191484.03,715
sul,5,7,1671,olhos,222,6,255.036.016,Firenze com Tampa,JARRAS,119,372,39,594517.32,826
sul,6,4,886,maos,247,1,188.012.003,Super Prático,COZINHA,267,372,108,33554.56,217
sul,6,4,886,maos,247,2,188.012.002,Super Prático,COZINHA,265,372,105,19552.42,125
sul,6,4,886,maos,247,3,307.006.520,"Travessa Oval Canelada Com Tampa - Branca 2,5L",COZINHA,185,372,89,30872.75,275
sul,6,5,1148,maos,247,1,077.012.003,Escorredor Ideal,COZINHA,240,285,100,104979.63,818
sul,6,5,1148,maos,247,2,077.012.002,Escorredor Ideal,COZINHA,240,285,100,94377.4,620
sul,6,5,1148,maos,247,3,090.012.003,Açucareiro Doçura,COZINHA,110,285,132,117361.91,761
sul,6,5,1148,maos,247,4,090.012.002,Saleiro Rubi,COZINHA,110,285,132,89756.36,546
sul,6,6,1409,olhos,247,1,002.036.002,Tábua Popular,COZINHA,207,372,4,140381.74,192
sul,6,6,1409,olhos,247,2,224.012.003,Porta Talher Escorre e Guarda,COZINHA,95,285,240,288745.52,848
sul,6,6,1409,olhos,247,3,224.012.002,Porta Talher Escorre e Guarda,COZINHA,95,285,240,123104.88,565
sul,6,6,1409,olhos,247,4,224.012.086,Porta Talher Escorre e Guarda,COZINHA,95,285,240,67987.2,256
sul,6,6,1409,olhos,247,5,545.012.003,Porta Detergente e Esponja Flat,COZINHA,87,285,60,143479.86,684
