parede_de_origem,ambiente,referencia,nome,categoria,motivo,frente_mm,profundidade_min_mm,altura_mm,faturamento_12m
sul,COZINHA,353.006.001,Kit Potes Modulares com 6 Peças,POTES,altura 285 > 247,110,285,285,435974.81
sul,COZINHA,059.012.003,Escorredor de Pratos,COZINHA,profundidade 500 > 372,118,500,92,384282.31
sul,COZINHA,237.006.003,Pote Acoplado com Copo Medidor,POTES,altura 255 > 247,205,285,255,275398.26
sul,COZINHA,237.006.002,Pote Acoplado com Copo Medidor,POTES,altura 255 > 247,205,285,255,240463.15
sul,COZINHA,117.012.002,Tábua Extra Grande,COZINHA,profundidade 500 > 372,245,500,5,205478.07
sul,COZINHA,387.006.M00,Tábua de Corte Teca G,TECA,profundidade 500 > 372,265,500,18,197675.91
sul,COZINHA,196.006.001,Pote Premium,POTES,profundidade 500 > 372,260,500,120,174950.53
sul,COZINHA,182.012.546,Jarra com Tampa Flip Top,JARRAS,altura 267 > 247,124,285,267,161891.71
sul,COZINHA,165.006.003,Escorredor de Pratos,COZINHA,profundidade 500 > 372,355,500,111,149730.62
sul,COZINHA,056.012.002,Escorredor Luxo com Cabo,COZINHA,profundidade 500 > 372,250,500,115,116732.87
sul,COZINHA,182.012.002,Jarra com Tampa Flip Top,JARRAS,altura 267 > 247,124,285,267,104879.67
sul,COZINHA,059.012.002,Escorredor de Pratos,COZINHA,profundidade 500 > 372,305,500,95,100467.81
sul,COZINHA,323.006.001,"Pote Modular - Transparente 2,4L",POTES,altura 285 > 247,110,285,285,99223.19
sul,COZINHA,700.006.001,Organizador de Geladeira Rattan,GELADEIRA,profundidade 500 > 372,275,500,82,69157.58
sul,COZINHA,270.002.M03,Caixa Juta Europa com Tampa Teca,TECA,profundidade 500 > 372,280,500,227,62599.18
sul,COZINHA,056.012.003,Escorredor Luxo com Cabo,COZINHA,profundidade 500 > 372,250,500,115,47551.82
sul,COZINHA,270.002.M02,Caixa Juta Europa com Tampa Teca,TECA,profundidade 500 > 372,280,500,227,47435.57
sul,COZINHA,165.006.002,Escorredor de Pratos,COZINHA,profundidade 500 > 372,355,500,111,45954.14
sul,COZINHA,039.012.003,Escorredor Basico Com Cabo - Preto,COZINHA,profundidade 500 > 372,230,500,90,38752.28
sul,COZINHA,059.012.086,Escorredor de Pratos,COZINHA,profundidade 500 > 372,118,500,92,35854.49
sul,COZINHA,081.012.003,Porta Papel Toalha,COZINHA,altura 263 > 247,148,285,263,31578.92
sul,COZINHA,165.006.086,Escorredor de Pratos,COZINHA,profundidade 500 > 372,355,500,111,26298.37
sul,COZINHA,039.012.002,Escorredor Basico Com Cabo - Branco,COZINHA,profundidade 500 > 372,230,500,90,25643.88
sul,COZINHA,392.006.M00,Tábua com Cabo Teca G,TECA,profundidade 500 > 372,210,500,12,24011.28
sul,COZINHA,081.012.002,Porta Papel Toalha,COZINHA,altura 263 > 247,148,285,263,22711.54
sul,COZINHA,820.006.002,Escorredor de Pratos Flat,COZINHA,profundidade 500 > 372,268,500,120,9937.86
sul,COZINHA,625.002.M00,Teca Grande Gourmet,TECA,profundidade 500 > 372,295,500,30,9364.74
sul,COZINHA,820.006.003,Escorredor de Pratos Flat,COZINHA,profundidade 500 > 372,268,500,120,8115.06
sul,COZINHA,552.002.M02,Cesto de Roupa Empilhável com Teca,TECA,altura 495 > 247,345,372,495,5893.31
sul,COZINHA,684.004.M00,Tabua De Servir Teca Com Cabo E 2 Molheiras,TECA,profundidade 500 > 372,175,500,18,5801.68
sul,COZINHA,689.004.M00,Tabua Servir Teca Com Cabo E 1 Molheira,TECA,profundidade 500 > 372,133,500,18,5630.64
sul,COZINHA,562.004.M00,Tábua de Pizza com Cabo Teca,TECA,profundidade 500 > 372,380,500,15,5516.64
sul,COZINHA,563.004.M00,Tábua Brotinho com Cabo Teca,TECA,profundidade 500 > 372,343,500,15,2911.84
sul,COZINHA,552.002.M03,Cesto de Roupa Empilhável com Teca,TECA,altura 495 > 247,345,372,495,2658.75
sul,COZINHA,820.006.086,Escorredor de Pratos Flat,COZINHA,profundidade 500 > 372,268,500,120,2022.78
sul,COZINHA,438.006.M00,Tábua de Corte Teca Extra G,TECA,profundidade 500 > 372,210,500,12,1350.66
sul,COZINHA,443.006.M00,Tábua de Corte Teca G com Alça de Metal,TECA,profundidade 500 > 372,210,500,12,225.84
sul,COZINHA,695.002.M00,Teca Quadrada Gourmet,TECA,profundidade 500 > 372,210,500,12,0.0
fundo,BANHO E LAVANDERIA,172.012.999,Pá de Lixo com Cabo,LIMPEZA,altura 666 > 490,180,285,666,874221.25
fundo,BANHO E LAVANDERIA,552.004.002,Cesto de Roupas Empilhável,LIMPEZA,altura 495 > 490,345,372,495,81704.55
fundo,BANHO E LAVANDERIA,552.004.003,Cesto de Roupas Empilhável,LIMPEZA,altura 495 > 490,345,372,495,35560.2
fundo,BANHO E LAVANDERIA,172.012.998,Pá de Lixo com Cabo,LIMPEZA,altura 666 > 490,180,285,666,32884.68
fundo,BANHO E LAVANDERIA,054.004.001,Cesto de Roupas,LIMPEZA,altura 500 > 490,340,500,500,25814.42
fundo,BANHO E LAVANDERIA,054.004.003,Cesto de Roupas,LIMPEZA,altura 500 > 490,230,372,500,8507.08
norte,ORGANIZACAO,069.006.003,Rattan com Tampa,ORGANIZACAO,profundidade 500 > 372,280,500,190,606962.34
norte,ORGANIZACAO,069.006.002,Rattan com Tampa,ORGANIZACAO,profundidade 500 > 372,280,500,190,566454.34
norte,ORGANIZACAO,170.006.028,Caixa de Ferramentas Nitronfort 16L,ORGANIZACAO,profundidade 500 > 372,223,500,183,419184.92
norte,ORGANIZACAO,097.012.001,Nitronbox 10L (097),ORGANIZACAO,profundidade 500 > 372,293,500,136,195516.18
norte,ORGANIZACAO,053.004.003,4 Andares,ORGANIZACAO,profundidade 500 > 372,300,500,705,184193.96
