modulo,corrida,posicao,area,tipo,painel,pilha,x_mm,y_mm,largura_mm,profundidade_mm,eixo,altura_mm,prateleiras,ambiente,categoria,skus_1_facing,skus_2_facing,frente_ocupada_mm,frente_util_mm,faturamento_12m,nota
1,1,ini,Paredão sul,parede-620,305×620,270·270·270·270·270·270,175,7148,648,372,x,1664,7,COZINHA,POP,9,0,4058,4340,39074.03,
2,1,meio,Paredão sul,parede-620,305×620,270·270·270·270·270·270,823,7148,637,372,x,1664,7,COZINHA,GELADEIRA,7,0,3867,4340,294583.92,
3,1,fim,Paredão sul,parede-725,305×725,270·270·270·270·270·270,1461,7148,748,372,x,1664,7,COZINHA,MICRO-ONDAS,12,0,4504,5075,1741102.77,
4,2,ini,Paredão sul,parede-725,305×725,270·270·270·270·270·270,2209,7148,748,372,x,1664,7,COZINHA,JARRAS,23,0,4863,5075,2778440.01,
5,2,meio,Paredão sul,parede-725,305×725,270·270·270·270·270·270,2957,7148,737,372,x,1664,7,COZINHA,COZINHA,18,0,4752,5075,2536608.92,
6,2,fim,Paredão sul,parede-725,305×725,270·270·270·270·270·270,3694,7148,748,372,x,1664,7,COZINHA,COZINHA,18,0,4756,5075,2754638.44,
7,3,ini,Paredão sul,parede-725,305×725,270·270·270·270·270·270,4442,7148,748,372,x,1664,7,COZINHA,COZINHA,17,0,4811,5075,1916226.74,
8,3,meio,Paredão sul,parede-725,305×725,270·270·270·270·270·270,5190,7148,737,372,x,1664,7,COZINHA,COZINHA,17,0,4753,5075,1534518.69,
9,3,fim,Paredão sul,parede-725,305×725,270·270·270·270·270·270,5927,7148,748,372,x,1664,7,COZINHA,COZINHA,16,0,4812,5075,1219002.78,
10,4,ini,Paredão sul,parede-725,305×725,270·270·270·270·270·270,6675,7148,748,372,x,1664,7,COZINHA,POTES,20,0,4842,5075,2031256.94,
11,4,meio,Paredão sul,parede-725,305×725,270·270·270·270·270·270,7423,7148,737,372,x,1664,7,COZINHA,POTES,20,0,4989,5075,1490579.36,
12,4,fim,Paredão sul,parede-725,305×725,270·270·270·270·270·270,8160,7148,748,372,x,1664,7,COZINHA,POTES,22,0,4965,5075,2048834.2,
13,5,ini,Paredão sul,parede-725,305×725,270·270·270·270·270·270,8908,7148,748,372,x,1664,7,COZINHA,POTES,17,0,4771,5075,1363855.25,
14,5,meio,Paredão sul,parede-725,305×725,270·270·270·270·270·270,9656,7148,737,372,x,1664,7,COZINHA,POTES,18,0,4818,5075,1329006.02,
15,5,fim,Paredão sul,parede-725,305×725,270·270·270·270·270·270,10393,7148,748,372,x,1664,7,COZINHA,POTES,18,0,4968,5075,1027461.76,
16,6,ini,Paredão sul,parede-725,305×725,270·270·270·270·270·270,11141,7148,748,372,x,1664,7,COZINHA,POTES,16,0,4941,5075,1152926.26,
17,6,meio,Paredão sul,parede-620,305×620,270·270·270·270·270·270,11889,7148,637,372,x,1664,7,COZINHA,POTES,13,0,4305,4340,806109.73,
18,6,fim,Paredão sul,parede-620,305×620,270·270·270·270·270·270,12527,7148,648,372,x,1664,7,COZINHA,POTES,14,0,3900,4340,871999.91,
19,7,ini,Paredão norte,parede-baixa,305×725,346·346·270,6745,0,748,372,x,1030,4,ORGANIZACAO,ORGANIZACAO,5,14,2769,2900,101705.87,sob a janela
20,7,meio,Paredão norte,parede-baixa,305×725,346·346·270,7493,0,737,372,x,1030,4,ORGANIZACAO,ORGANIZACAO,2,12,2737,2900,86661.02,sob a janela
21,7,fim,Paredão norte,parede-baixa,305×725,346·346·270,8230,0,748,372,x,1030,4,ORGANIZACAO,ORGANIZACAO,3,14,2835,2900,57353.44,sob a janela
22,8,ini,Paredão norte,parede-baixa,305×725,346·346·270,8978,0,748,372,x,1030,4,ORGANIZACAO,ORGANIZACAO,2,14,2779,2900,50899.18,sob a janela
23,8,meio,Paredão norte,parede-baixa,305×725,346·346·270,9726,0,737,372,x,1030,4,ORGANIZACAO,ORGANIZACAO,3,15,2866,2900,22428.03,sob a janela
24,8,fim,Paredão norte,parede-baixa,305×725,346·346·270,10463,0,748,372,x,1030,4,ORGANIZACAO,ORGANIZACAO,0,15,2740,2900,0,sob a janela
25,9,ini,Paredão norte,parede-baixa,305×725,346·346·270,11211,0,748,372,x,1030,4,ORGANIZACAO,ORGANIZACAO,0,14,2785,2900,0,sob a janela
26,9,fim,Paredão norte,parede-baixa,305×725,346·346·270,11959,0,748,372,x,1030,4,ORGANIZACAO,ORGANIZACAO,0,11,2821,2900,0,sob a janela
27,10,ini,Paredão do fundo,fundo-620,305×620,513·346·346·270,12978,372,372,648,y,1535,5,BANHO E LAVANDERIA,LIMPEZA,9,0,2972,3100,1795869.81,
28,10,meio,Paredão do fundo,parede-fundo,305×725,513·346·346·270,12978,1020,372,737,y,1535,5,BANHO E LAVANDERIA,LIMPEZA,6,0,2794,3625,487757.37,
29,10,fim,Paredão do fundo,parede-fundo,305×725,513·346·346·270,12978,1757,372,748,y,1535,5,BANHO E LAVANDERIA,LIXEIRAS,10,0,2996,3625,3560272.7,
30,11,ini,Paredão do fundo,parede-fundo,305×725,513·346·346·270,12978,2505,372,748,y,1535,5,BANHO E LAVANDERIA,LIXEIRAS,11,0,3416,3625,1941645.73,
31,11,meio,Paredão do fundo,parede-fundo,305×725,513·346·346·270,12978,3253,372,737,y,1535,5,BANHO E LAVANDERIA,LIXEIRAS,9,0,3212,3625,1239804.9,
32,11,fim,Paredão do fundo,parede-fundo,305×725,513·346·346·270,12978,3990,372,748,y,1535,5,BANHO E LAVANDERIA,LIXEIRAS,6,0,2510,3625,965829.77,
33,12,ini,Paredão do fundo,parede-fundo,305×725,513·346·346·270,12978,4738,372,748,y,1535,5,BANHO E LAVANDERIA,LIXEIRAS,3,0,2752,3625,795252.15,
34,12,meio,Paredão do fundo,parede-fundo,305×725,513·346·346·270,12978,5486,372,737,y,1535,5,BANHO E LAVANDERIA,LIXEIRAS,3,0,2864,3625,591890.63,
35,12,fim,Paredão do fundo,parede-fundo,305×725,513·346·346·270,12978,6224,372,748,y,1535,5,BANHO E LAVANDERIA,BANHEIRO,23,0,3461,3625,3629439.59,
36,13,ini,Parede de entrada,parede-725,305×725,270·270·270·270·270·270,0,2123,372,748,y,1664,7,FRASQUEIRAS E INFANTIL,DECOR,7,0,4674,5075,807506.79,
37,13,meio,Parede de entrada,parede-725,305×725,270·270·270·270·270·270,0,2871,372,737,y,1664,7,FRASQUEIRAS E INFANTIL,TECA,11,0,4687,5075,597572.14,
38,13,fim,Parede de entrada,parede-725,305×725,270·270·270·270·270·270,0,3608,372,748,y,1664,7,FRASQUEIRAS E INFANTIL,TECA,8,0,4806,5075,282232.76,
39,14,ini,Parede de entrada,parede-725,305×725,270·270·270·270·270·270,0,4356,372,748,y,1664,7,FRASQUEIRAS E INFANTIL,INFANTIL+REALCE,11,0,4878,5075,475127.98,
40,14,fim,Parede de entrada,parede-725,305×725,270·270·270·270·270·270,0,5104,372,748,y,1664,7,FRASQUEIRAS E INFANTIL,FRASQUEIRAS,11,0,4968,5075,3788563.21,
