modulo,area,prateleira,altura_face_mm,zona,vao_livre_mm,facing,facings_na_prateleira,ordem,referencia,nome,ambiente,categoria,frente_mm,profundidade_min_mm,altura_mm,faturamento_12m,clientes
1,Paredão sul,1,100,chao,247,3,1,1,6120.006.P01,Kit POP - 6 Potes Retangulares,COZINHA,POP,112,285,78,9045.18,23
1,Paredão sul,1,100,chao,247,3,1,2,319.006.P01,Kit POP - 6 Potes Quadrados,COZINHA,POP,78,285,69,5268.0,20
1,Paredão sul,1,100,chao,247,3,1,3,317.006.P01,Kit POP com 5 Marmitas Fits,COZINHA,POP,100,285,62,4937.94,14
1,Paredão sul,1,100,chao,247,3,1,4,231.006.P01,Kit POP - 6 Potes com Travas,COZINHA,POP,100,285,40,4649.29,20
1,Paredão sul,1,100,chao,247,3,1,5,205.006.P01,Kit POP - 6 Potes Fits,COZINHA,POP,78,285,207,3756.9,17
1,Paredão sul,1,100,chao,247,3,1,6,555.006.P01,Kit POP - 6 Potes Tampas Fixa,COZINHA,POP,105,285,65,3417.42,17
1,Paredão sul,2,362,chao,247,3,1,1,6120.006.P01,Kit POP - 6 Potes Retangulares,COZINHA,POP,112,285,78,9045.18,23
1,Paredão sul,2,362,chao,247,3,1,2,319.006.P01,Kit POP - 6 Potes Quadrados,COZINHA,POP,78,285,69,5268.0,20
1,Paredão sul,2,362,chao,247,3,1,3,317.006.P01,Kit POP com 5 Marmitas Fits,COZINHA,POP,100,285,62,4937.94,14
1,Paredão sul,2,362,chao,247,3,1,4,231.006.P01,Kit POP - 6 Potes com Travas,COZINHA,POP,100,285,40,4649.29,20
1,Paredão sul,2,362,chao,247,3,1,5,205.006.P01,Kit POP - 6 Potes Fits,COZINHA,POP,78,285,207,3756.9,17
1,Paredão sul,2,362,chao,247,3,1,6,555.006.P01,Kit POP - 6 Potes Tampas Fixa,COZINHA,POP,105,285,65,3417.42,17
1,Paredão sul,3,624,chao,247,3,1,1,6120.006.P01,Kit POP - 6 Potes Retangulares,COZINHA,POP,112,285,78,9045.18,23
1,Paredão sul,3,624,chao,247,3,1,2,319.006.P01,Kit POP - 6 Potes Quadrados,COZINHA,POP,78,285,69,5268.0,20
1,Paredão sul,3,624,chao,247,3,1,3,317.006.P01,Kit POP com 5 Marmitas Fits,COZINHA,POP,100,285,62,4937.94,14
1,Paredão sul,3,624,chao,247,3,1,4,231.006.P01,Kit POP - 6 Potes com Travas,COZINHA,POP,100,285,40,4649.29,20
1,Paredão sul,3,624,chao,247,3,1,5,205.006.P01,Kit POP - 6 Potes Fits,COZINHA,POP,78,285,207,3756.9,17
1,Paredão sul,3,624,chao,247,3,1,6,555.006.P01,Kit POP - 6 Potes Tampas Fixa,COZINHA,POP,105,285,65,3417.42,17
1,Paredão sul,4,886,maos,247,3,1,1,6120.006.P01,Kit POP - 6 Potes Retangulares,COZINHA,POP,112,285,78,9045.18,23
1,Paredão sul,4,886,maos,247,3,1,2,319.006.P01,Kit POP - 6 Potes Quadrados,COZINHA,POP,78,285,69,5268.0,20
1,Paredão sul,4,886,maos,247,3,1,3,317.006.P01,Kit POP com 5 Marmitas Fits,COZINHA,POP,100,285,62,4937.94,14
1,Paredão sul,4,886,maos,247,3,1,4,231.006.P01,Kit POP - 6 Potes com Travas,COZINHA,POP,100,285,40,4649.29,20
1,Paredão sul,4,886,maos,247,3,1,5,205.006.P01,Kit POP - 6 Potes Fits,COZINHA,POP,78,285,207,3756.9,17
1,Paredão sul,4,886,maos,247,3,1,6,555.006.P01,Kit POP - 6 Potes Tampas Fixa,COZINHA,POP,105,285,65,3417.42,17
1,Paredão sul,5,1148,maos,247,3,1,1,6120.006.P01,Kit POP - 6 Potes Retangulares,COZINHA,POP,112,285,78,9045.18,23
1,Paredão sul,5,1148,maos,247,3,1,2,319.006.P01,Kit POP - 6 Potes Quadrados,COZINHA,POP,78,285,69,5268.0,20
1,Paredão sul,5,1148,maos,247,3,1,3,317.006.P01,Kit POP com 5 Marmitas Fits,COZINHA,POP,100,285,62,4937.94,14
1,Paredão sul,5,1148,maos,247,3,1,4,231.006.P01,Kit POP - 6 Potes com Travas,COZINHA,POP,100,285,40,4649.29,20
1,Paredão sul,5,1148,maos,247,3,1,5,205.006.P01,Kit POP - 6 Potes Fits,COZINHA,POP,78,285,207,3756.9,17
1,Paredão sul,5,1148,maos,247,3,1,6,555.006.P01,Kit POP - 6 Potes Tampas Fixa,COZINHA,POP,105,285,65,3417.42,17
1,Paredão sul,6,1409,olhos,247,1,2,1,241.006.P01,Kit POP - 6 Potes com Válvula,COZINHA,POP,117,285,40,2919.48,13
1,Paredão sul,6,1409,olhos,247,1,2,2,554.006.P01,Kit POP - 6 Potes Tampas Fixa,COZINHA,POP,80,285,60,2853.84,15
