item,quantidade
Painel 200×620,24
Painel 305×620,47
Painel 305×725,312
Painel 450×725,36
Ripa largura 183,32
Ripa largura 287,509
Ripa largura 415,54
Ripa comprimento 617,142
Ripa comprimento 717,696
Ripa vertical 270,586
Ripa vertical 346,272
Ripa vertical 513,92
Pé,240
Trizeta,704
Peça L,0
Tampa,240
Cruzeta,486
Ancoragem (bucha S8 + parafuso 5×50 + arruela),45
"União poste a poste entre corridas vizinhas, 2 níveis (parafuso)",22
"União costa a costa das gôndolas, 2 níveis (parafuso)",24
