corrida,area,vaos,N,modulos,x_mm,y_mm,eixo,comprimento_mm,profundidade_mm,altura_mm,trizetas,cruzetas,pecas_L,tampas,paineis,custo_material,kg,nota
1,Paredão sul,parede-620 + parede-620 + parede-725,3,1-2-3,175,7148,x,2033,372,1663.76,28,28,0,8,21,900.72,48.86,
2,Paredão sul,parede-725 + parede-725 + parede-725,3,4-5-6,2209,7148,x,2233,372,1663.76,28,28,0,8,21,983.93,53.24,
3,Paredão sul,parede-725 + parede-725 + parede-725,3,7-8-9,4442,7148,x,2233,372,1663.76,28,28,0,8,21,983.93,53.24,
4,Paredão sul,parede-725 + parede-725 + parede-725,3,10-11-12,6675,7148,x,2233,372,1663.76,28,28,0,8,21,983.93,53.24,
5,Paredão sul,parede-725 + parede-725 + parede-725,3,13-14-15,8908,7148,x,2233,372,1663.76,28,28,0,8,21,983.93,53.24,
6,Paredão sul,parede-725 + parede-620 + parede-620,3,16-17-18,11141,7148,x,2033,372,1663.76,28,28,0,8,21,900.72,48.86,
7,Paredão norte,parede-baixa + parede-baixa + parede-baixa,3,19-20-21,6745,0,x,2233,372,1030.1200000000001,16,16,0,8,12,564.42,30.54,sob a janela
8,Paredão norte,parede-baixa + parede-baixa + parede-baixa,3,22-23-24,8978,0,x,2233,372,1030.1200000000001,16,16,0,8,12,564.42,30.54,sob a janela
9,Paredão norte,parede-baixa + parede-baixa,2,25-26,11211,0,x,1496,372,1030.1200000000001,16,8,0,6,8,381.61,20.68,sob a janela
10,Paredão do fundo,fundo-620 + parede-fundo + parede-fundo,3,27-28-29,12978,372,y,2133,372,1535.0,20,20,0,8,15,684.65,37.07,
11,Paredão do fundo,parede-fundo + parede-fundo + parede-fundo,3,30-31-32,12978,2505,y,2233,372,1535.0,20,20,0,8,15,714.37,38.63,
12,Paredão do fundo,parede-fundo + parede-fundo + parede-fundo,3,33-34-35,12978,4738,y,2233,372,1535.0,20,20,0,8,15,714.37,38.63,
13,Parede de entrada,parede-725 + parede-725 + parede-725,3,36-37-38,0,1385,y,2233,372,1663.76,28,28,0,8,21,983.93,53.24,
14,Parede de entrada,parede-725 + parede-725 + parede-725,3,39-40-41,0,3619,y,2233,372,1663.76,28,28,0,8,21,983.93,53.24,
15,Parede de entrada,parede-620 + parede-620,2,42-43,0,5852,y,1296,372,1663.76,28,14,0,6,14,581.76,31.67,
16,Ilha 1,ponta,1,44,5400,2020,y,759,372,1030.1200000000001,16,0,0,4,4,198.81,10.83,cabeceira oeste
17,Ilha 1,ilha + ilha,2,45-46,5772,1900,x,1496,500,935.24,12,6,0,6,6,395.23,21.24,face norte
18,Ilha 1,ilha + ilha,2,47-48,5772,2400,x,1496,500,935.24,12,6,0,6,6,395.23,21.24,face sul
19,Ilha 1,ponta,1,49,7268,2020,y,759,372,1030.1200000000001,16,0,0,4,4,198.81,10.83,cabeceira leste
20,Ilha 2,ponta,1,50,5400,4420,y,759,372,1030.1200000000001,16,0,0,4,4,198.81,10.83,cabeceira oeste
21,Ilha 2,ilha + ilha,2,51-52,5772,4300,x,1496,500,935.24,12,6,0,6,6,395.23,21.24,face norte
22,Ilha 2,ilha + ilha,2,53-54,5772,4800,x,1496,500,935.24,12,6,0,6,6,395.23,21.24,face sul
23,Ilha 2,ponta,1,55,7268,4420,y,759,372,1030.1200000000001,16,0,0,4,4,198.81,10.83,cabeceira leste
24,Ilha 3,ponta,1,56,1766,4420,y,759,372,1030.1200000000001,16,0,0,4,4,198.81,10.83,cabeceira oeste
25,Ilha 3,ilha + ilha,2,57-58,2138,4300,x,1496,500,935.24,12,6,0,6,6,395.23,21.24,face norte
26,Ilha 3,ilha + ilha,2,59-60,2138,4800,x,1496,500,935.24,12,6,0,6,6,395.23,21.24,face sul
27,Ilha 3,ponta,1,61,3634,4420,y,759,372,1030.1200000000001,16,0,0,4,4,198.81,10.83,cabeceira leste
28,Gôndola A,ponta,1,62,8692,2250,x,759,372,1030.1200000000001,16,0,0,4,4,198.81,10.83,cabeceira norte
29,Gôndola A,gondola + gondola + gondola,3,63-64-65,8700,2622,y,2233,372,1535.0,20,20,0,8,15,714.37,38.63,face oeste
30,Gôndola A,gondola + gondola + gondola,3,66-67-68,9072,2622,y,2233,372,1535.0,20,20,0,8,15,714.37,38.63,face leste
31,Gôndola A,ponta,1,69,8692,4855,x,759,372,1030.1200000000001,16,0,0,4,4,198.81,10.83,cabeceira sul
32,Gôndola B,ponta,1,70,10836,2250,x,759,372,1030.1200000000001,16,0,0,4,4,198.81,10.83,cabeceira norte
33,Gôndola B,gondola + gondola + gondola,3,71-72-73,10844,2622,y,2233,372,1535.0,20,20,0,8,15,714.37,38.63,face oeste
34,Gôndola B,gondola + gondola + gondola,3,74-75-76,11216,2622,y,2233,372,1535.0,20,20,0,8,15,714.37,38.63,face leste
35,Gôndola B,ponta,1,77,10836,4855,x,759,372,1030.1200000000001,16,0,0,4,4,198.81,10.83,cabeceira sul
36,Corredor de checkout,checkout + checkout + checkout,3,78-79-80,2600,800,y,1933,268,878.1200000000001,16,16,0,8,12,356.7,19.62,lado oeste
37,Corredor de checkout,checkout + checkout + checkout,3,81-82-83,4000,800,y,1933,268,878.1200000000001,16,16,0,8,12,356.7,19.62,lado leste
