REFERENCIA;EAN;CATEGORIA;LAYOUT;PORQUE ESTE LAYOUT;NOME NA ORIGEM;NOME PT PROPOSTO;CARACTERES;LIMITE;ABREVIATURAS APLICADAS;SELOS COM EVIDENCIA NO TEXTO;SELOS CORTADOS PELO LIMITE;APLICACOES CORTADAS;ALERTAS
002.036.002;7896779601813;Cozinha;1;face 13 cm2;Tábua Popular - Branca (018/B);Tábua Popular;13;28;;;LAV;;SEM CAPACIDADE | SEM DESCRICAO NA ORIGEM
003.006.002;7896779610433;Organização;4;categoria Organização;Gaveteiro com 3 Gavetas - Branca (004/3B);Gaveteiro com 3 Gavetas;23;44;;;;;SEM CAPACIDADE
003.006.003;7896779620432;Organização;4;categoria Organização;Gaveteiro com 3 Gavetas - Preta (004/3P);Gaveteiro com 3 Gavetas;23;44;;;;;SEM CAPACIDADE
003.006.012;7896779604371;Organização;4;categoria Organização;Gaveteiro com 3 Gavetas - Rosa;Gaveteiro com 3 Gavetas;23;44;;;;;SEM CAPACIDADE
004.006.002;7896779620449;Organização;4;categoria Organização;Gaveteiro com 4 Gavetas - Branca (004/4B);Gaveteiro com 4 Gavetas;23;44;;;;;SEM CAPACIDADE
004.006.003;7896779620456;Organização;4;categoria Organização;Gaveteiro com 4 Gavetas - Preta (004/4P);Gaveteiro com 4 Gavetas;23;44;;;;;SEM CAPACIDADE
004.006.012;7896779604418;Organização;4;categoria Organização;Gaveteiro com 4 Gavetas - Rosa;Gaveteiro com 4 Gavetas;23;44;;;;;SEM CAPACIDADE
006.030.998;7896779606207;Infantil;1;capacidade 250 ml;Copo Baby com Tampa - Cachorro/Panda 250 ml;Copo Baby c/ Tampa - Cachorro/Panda;35;28;com>c/;;LAV;;SEM NOME EN | SEM NOME ES | NOME PT EXCEDE LIMITE (35>28) | DIMENSAO E DIAMETRO | SEM DESCRICAO NA ORIGEM
006.030.999;7896779600069;Infantil;1;capacidade 250 ml;Copo Baby com Tampa - Sortido 250 ml (006);Copo Baby com Tampa;19;28;;;LAV;;DIMENSAO E DIAMETRO
008.012.002;7896779600823;Limpeza;3;face 518 cm2;Porta Sabão em Pó com Dosador - Branco 2 Kg;Porta Sabão em Pó com Dosador;29;40;;HIG;;;
008.012.003;7896779600854;Limpeza;3;face 518 cm2;Porta Sabão em Pó com Dosador - Preto 2 Kg;Porta Sabão em Pó com Dosador;29;40;;HIG;;;
