CODATRIB;DESCRICAO PT;DESCRICAO EN;DESCRICAO ES;NOMEGRF;NOVO;ATIVO
BPA;Livre de BPA;BPA Free;Libre de BPA;ATRB0001;;S
BRA;Produzido no Brasil;Made in Brazil;Producido en Brasil;ATRB0002;;S
MIC;Apto para micro-ondas;Microwave Safe;Apto para microondas;ATRB0003;;S
FRZ;Apto para congelador;Freezer Safe;Apto para congelador;ATRB0004;;S
LAV;Lavavel na maquina;Dishwasher Safe;Apto para lavavajillas;ATRB0005;;S
REC;Material reciclado;Recycled Material;Material reciclado;ATRB0006;;S
RCL;Reciclavel;Recyclable;Reciclable;ATRB0007;;S
ATX;Atoxico;Non-toxic;Atoxico;ATRB0008;;S
HER;Fecho hermetico;Airtight Seal;Cierre hermetico;ATRB0009;;S
EMP;Empilhavel;Stackable;Apilable;ATRB0010;;S
PED;Pedal resistente;Sturdy Pedal;Pedal resistente;ATRB0011;;S
TBA;Tampa basculante;Swing Lid;Tapa basculante;ATRB0012;;S
HIG;Higienico;Hygienic;Higienico;ATRB0013;;S
FCL;Facil de limpar;Easy to Clean;Facil de limpiar;ATRB0014;;S
VLV;Valvula de vedacao;Sealing Valve;Valvula de sellado;ATRB0015;;S
TRP;Transparente;Transparent;Transparente;ATRB0016;;S
