REFERENCIA;EAN;LAYOUT;NOME PT;CAPACIDADE;QTD PECAS;SELOS;APLICACOES;URL QR
002.036.002;7896779601813;1;Tábua Popular;;1;BPA,ATX,BRA;COZI;nitron.com.br/p/002.036.002
003.006.002;7896779610433;4;Gaveteiro com 3 Gavetas;;1;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/003.006.002
003.006.003;7896779620432;4;Gaveteiro com 3 Gavetas;;1;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/003.006.003
003.006.012;7896779604371;4;Gaveteiro com 3 Gavetas;;1;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/003.006.012
004.006.002;7896779620449;4;Gaveteiro com 4 Gavetas;;1;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/004.006.002
004.006.003;7896779620456;4;Gaveteiro com 4 Gavetas;;1;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/004.006.003
004.006.012;7896779604418;4;Gaveteiro com 4 Gavetas;;1;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/004.006.012
006.030.998;7896779606207;1;Copo Baby c/ Tampa - Cachorro/Panda;250 ML;1;BPA,ATX,BRA;BEBI,BRIN;nitron.com.br/p/006.030.998
006.030.999;7896779600069;1;Copo Baby com Tampa;250 ML;1;BPA,ATX,BRA;BEBI,BRIN;nitron.com.br/p/006.030.999
008.012.002;7896779600823;3;Porta Sabão em Pó com Dosador;2 KG;1;ATX,BRA,HIG,FCL,RCL;LIMP,ROUP,BANH;nitron.com.br/p/008.012.002
008.012.003;7896779600854;3;Porta Sabão em Pó com Dosador;2 KG;1;ATX,BRA,HIG,FCL,RCL;LIMP,ROUP,BANH;nitron.com.br/p/008.012.003
010.001.003;7896779600021;4;Caixa Expositora com 40 kits de 10 Cabides;;40;BRA,EMP,FCL,RCL;ROUP,PECA,FERR,ESCR,BRIN,DOCU;nitron.com.br/p/010.001.003
010.010.003;7896779600038;4;Cabide com 10 Peças;;10;BRA,EMP,FCL,RCL;ROUP;nitron.com.br/p/010.010.003
010.012.001;7896779611058;4;Cabide com 3 Peças;;3;BRA,EMP,FCL,TRP,RCL;ROUP;nitron.com.br/p/010.012.001
011.036.001;7896779600113;4;Organiza Tudo com 7 Divisórias;;1;BRA,HER,EMP,FCL,RCL;PREG,COST,PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/011.036.001
012.012.016;7896779612222;2;Porta Sabão em Pó;600 G;1;ATX,BRA,FCL,RCL;LIMP,ROUP,BANH;nitron.com.br/p/012.012.016
013.050.003;7896779601387;4;Suporte para Botijão;;1;BRA,EMP,FCL,RCL;COZI;nitron.com.br/p/013.050.003
013.050.004;7896779600137;4;Suporte para Botijão;;1;BRA,EMP,FCL,RCL;COZI;nitron.com.br/p/013.050.004
015.012.002;7896779601547;2;Ralador Pratic com Pote;420 ML;1;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/015.012.002
