CODPROD;REFERENCIA;DESCRICAO SANKHYA;LAYOUT;NOME PT;NOME EN;NOME ES;CAP VALOR;CAP UNID;QTD PECAS;LARG CM;ALT CM;PROF CM;SELOS;APLICACOES;URL QR
;002.036.002;Tábua Popular - Branca (018/B);1;Tábua Popular;Popular Board;Tablero Popular;;;1;32.0;0.4;20.0;BPA,ATX,BRA;COZI;nitron.com.br/p/002.036.002
;003.006.002;Gaveteiro com 3 Gavetas - Branca (004/3B);4;Gaveteiro com 3 Gavetas;Drawer with 3 Drawers;Cajón con 3 Cajones;;;1;21.0;17.3;18.0;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/003.006.002
;003.006.003;Gaveteiro com 3 Gavetas - Preta (004/3P);4;Gaveteiro com 3 Gavetas;Drawer with 3 Drawers;Cajón con 3 Cajones;;;1;21.0;17.3;18.0;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/003.006.003
;003.006.012;Gaveteiro com 3 Gavetas - Rosa;4;Gaveteiro com 3 Gavetas;Drawer with 3 Drawers;Cajón con 3 Cajones;;;1;21.0;17.3;18.0;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/003.006.012
;004.006.002;Gaveteiro com 4 Gavetas - Branca (004/4B);4;Gaveteiro com 4 Gavetas;Drawer with 4 Drawers;Cajón con 4 Cajones;;;1;21.0;22.5;18.0;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/004.006.002
;004.006.003;Gaveteiro com 4 Gavetas - Preta (004/4P);4;Gaveteiro com 4 Gavetas;Drawer with 4 Drawers;Cajón con 4 cajones;;;1;21.0;22.5;18.0;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/004.006.003
;004.006.012;Gaveteiro com 4 Gavetas - Rosa;4;Gaveteiro com 4 Gavetas;Drawer with 4 Drawers;Cajón con 4 Cajones;;;1;21.0;22.5;18.0;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/004.006.012
;006.030.998;Copo Baby com Tampa - Cachorro/Panda 250 ml;1;Copo Baby c/ Tampa - Cachorro/Panda;;;250.0;ML;1;9.0;10.8;9.0;BPA,ATX,BRA;BEBI,BRIN;nitron.com.br/p/006.030.998
;006.030.999;Copo Baby com Tampa - Sortido 250 ml (006);1;Copo Baby com Tampa;Baby Cup with Lid;Vaso Bebé con Tapa;250.0;ML;1;9.0;10.8;9.0;BPA,ATX,BRA;BEBI,BRIN;nitron.com.br/p/006.030.999
;008.012.002;Porta Sabão em Pó com Dosador - Branco 2 Kg;3;Porta Sabão em Pó com Dosador;Washing Powder Holder with Measuring;Jabonera en Polvo con Dosificador;2.0;KG;1;20.7;25.0;10.5;ATX,BRA,HIG,FCL,RCL;LIMP,ROUP,BANH;nitron.com.br/p/008.012.002
